8131_117016_000001_000000	Chapter IV	Chapter four
8131_117016_000025_000001	"And don't let them get away!"	"And don't let them get away!"
8131_117016_000026_000001	He brought him to the ground with a single blow across the kidneys.	He brought him to the ground with a single blow across the kidneys.
8131_117016_000027_000000	It was soon over.	It was soon over.
8131_117016_000027_000001	They rounded up the men of the gang, and one of the cops started off.	They rounded up the men of the gang, and one of the cops started off.
8131_117016_000027_000002	Murdoch called, "Where are you going?"	Murdoch called, "Where are you going?"
8131_117016_000028_000000	"To find a phone and call the wagon."	"To find a phone and call the wagon."
8131_117016_000029_000001	"Line them up."	"Line them up."
8131_117016_000030_000000	When the hoods came to, they found themselves helpless, and facing police with clubs.	When the hoods came to, they found themselves helpless, and facing police with clubs.
8131_117016_000030_000002	If they fought back, the pugnaciousness was knocked out of them at once.	If they fought back, the pugnaciousness was knocked out of them at once.
8131_117016_000031_000000	Murdoch indicated one who stood with his shoulders shaking and tears running down his cheeks.	Murdoch indicated one who stood with his shoulders shaking and tears running down his cheeks.
8131_117016_000031_000002	Names."	Names."
8131_117016_000032_000000	Gordon found a section away from the others.	Gordon found a section away from the others.
8131_117016_000032_000001	"I want the name of every man in the gang you can remember," he told the man.	"I want the name of every man in the gang you can remember," he told the man.
8131_117016_000033_000001	"Colonel, they'd kill me! I don't know."	"Colonel, they'd kill me! I don't know."
8131_117016_000034_000000	His screams were almost worse than the beating but names began to come. Gordon took them down, and then returned with the man to the others.	His screams were almost worse than the beating but names began to come. Gordon took them down, and then returned with the man to the others.
8131_117016_000035_000000	Murdoch took his nod as evidence enough, and turned to the wretched toughs.	Murdoch took his nod as evidence enough, and turned to the wretched toughs.
8131_117016_000035_000001	"He squealed," he announced.	"He squealed," he announced.
8131_117016_000035_000002	"If he should turn up dead, I'll know you boys are responsible, and I'll find you.	"If he should turn up dead, I'll know you boys are responsible, and I'll find you.
8131_117016_000035_000003	Now get out of this district, or get honest jobs!	Now get out of this district, or get honest jobs!
8131_117016_000035_000004	Because every time one of my men sees one of you, this will happen again.	Because every time one of my men sees one of you, this will happen again.
8131_117016_000035_000005	And you can pass the word along that the Stonewall gang is dead!"	And you can pass the word along that the Stonewall gang is dead!"
8131_117016_000036_000001	Gordon nodded.	Gordon nodded.
8131_117016_000036_000003	Suppose the whole gang jumps us at once?"	Suppose the whole gang jumps us at once?"
8131_117016_000037_000000	Murdoch shrugged.	Murdoch shrugged.
8131_117016_000037_000002	The old book I got the idea from didn't mention that."	The old book I got the idea from didn't mention that."
8131_117016_000038_000002	Murdoch sent one of the men to pick up a second squad of six, and then a third.	Murdoch sent one of the men to pick up a second squad of six, and then a third.
8131_117016_000038_000003	After that, the watchers began to melt away.	After that, the watchers began to melt away.
8131_117016_000039_000000	"We'd better shift to another territory," Murdoch decided.	"We'd better shift to another territory," Murdoch decided.
8131_117016_000039_000001	Gordon realized that the gang had figured that concentrating the police here meant other territories would be safe.	Gordon realized that the gang had figured that concentrating the police here meant other territories would be safe.
8131_117016_000040_000000	Two more groups were given the treatment.	Two more groups were given the treatment.
8131_117016_000040_000002	He was a sick-looking spectacle.	He was a sick looking spectacle.
8131_117016_000041_000000	Murdoch nodded.	Murdoch nodded.
8131_117016_000041_000001	"Object lesson!"	"Object lesson!"
8131_117016_000042_000000	The one good thing about the captain, Gordon decided, was that he believed in doing his own dirtiest work.	The one good thing about the captain, Gordon decided, was that he believed in doing his own dirtiest work.
8131_117016_000042_000001	When he was finished, he turned to two of the other captives.	When he was finished, he turned to two of the other captives.
8131_117016_000043_000000	"Get a stretcher, and take him wherever he belongs," he ordered.	"Get a stretcher, and take him wherever he belongs," he ordered.
8131_117016_000043_000001	"I'm leaving you two able to walk for that.	"I'm leaving you two able to walk for that.
8131_117016_000044_000000	The squad went in, tired and sore; all had taken a severe beating in the brawls.	The squad went in, tired and sore; all had taken a severe beating in the brawls.
8131_117016_000044_000001	But there was little grumbling.	But there was little grumbling.
8131_117016_000044_000002	Gordon saw grudging admiration in their eyes for Murdoch, who had taken more punishment than they had.	Gordon saw grudging admiration in their eyes for Murdoch, who had taken more punishment than they had.
8131_117016_000045_000000	Gordon rode back in the official car with Murdoch and both were silent most of the way.	Gordon rode back in the official car with Murdoch and both were silent most of the way.
8131_117016_000045_000001	But the captain stirred finally, sighing.	But the captain stirred finally, sighing.
8131_117016_000045_000002	"Poor devils!"	"Poor devils!"
8131_117016_000046_000000	Gordon jerked up in surprise.	Gordon jerked up in surprise.
8131_117016_000046_000001	"The gang?"	"The gang?"
8131_117016_000047_000001	We're covered, Gordon.	We're covered, Gordon.
8131_117016_000047_000002	But the Stonewall gang is backing Wayne.	But the Stonewall gang is backing Wayne.
8131_117016_000047_000003	He's let me come in because he figures it will get him more votes.	He's let me come in because he figures it will get him more votes.
8131_117016_000047_000004	But afterwards, he'll have me out; and then the boys with me will be marks for the gang when it comes back.	But afterwards, he'll have me out; and then the boys with me will be marks for the gang when it comes back.
8131_117016_000047_000005	Besides, it'll show on the books that they didn't kick into his fund.	Besides, it'll show on the books that they didn't kick into his fund.
8131_117016_000047_000006	I can always go back to Earth, and I'll try to take you along.	I can always go back to Earth, and I'll try to take you along.
8131_117016_000047_000007	But it's going to be tough on them."	But it's going to be tough on them."
8131_117016_000048_000000	Bruce Gordon grimaced.	Bruce Gordon grimaced.
8131_117016_000048_000001	"I've got a yellow ticket, from Security."	"I've got a yellow ticket, from Security."
8131_117016_000049_000000	Murdoch blinked.	Murdoch blinked.
8131_117016_000050_000000	They rode on further in silence, until Gordon broke the ice to ease the tension.	They rode on further in silence, until Gordon broke the ice to ease the tension.
8131_117016_000050_000001	He found himself liking the other.	He found himself liking the other.
8131_117016_000051_000000	"What makes you think Wayne will be re-elected?	"What makes you think Wayne will be re-elected?
8131_117016_000051_000001	Nobody wants him, except a gang of crooks and those in power."	Nobody wants him, except a gang of crooks and those in power."
8131_117016_000052_000000	Murdoch grinned bitterly.	Murdoch grinned bitterly.
8131_117016_000052_000001	"Ever see a Martian election?	"Ever see a Martian election?
8131_117016_000052_000002	No, you're a firster.	No, you're a firster.
8131_117016_000052_000003	He can't lose!	He can't lose!
8131_117016_000052_000004	And then hell is going to pop, and this whole planet may be blown wide open!"	And then hell is going to pop, and this whole planet may be blown wide open!"
8131_117016_000053_000000	It fitted with the dire predictions of Security, and with the spying Gordon was going to do--according to them.	It fitted with the dire predictions of Security, and with the spying Gordon was going to do-according to them.
8131_117016_000054_000000	He discussed it with Mother Corey, who agreed that Wayne would be re-elected.	He discussed it with Mother Corey, who agreed that Wayne would be re-elected.
8131_117016_000055_000000	"Can't lose," the old man said.	"Can't lose," the old man said.
8131_117016_000056_000000	"He'll win," Mother Corey repeated.	"He'll win," Mother Corey repeated.
8131_117016_000056_000001	"And you'll turn honest all over, now you're in uniform.	"And you'll turn honest all over, now you're in uniform.
8131_117016_000056_000002	Take me, cobber.	Take me, cobber.
8131_117016_000056_000004	Cost 'em more, but they'd be respectable.	Cost 'em more, but they'd be respectable.
8131_117016_000056_000005	Only now I'm respectable myself, they don't look so good.	Only now I'm respectable myself, they don't look so good.
8131_117016_000056_000006	But this honesty stuff, it's like dope.	But this honesty stuff, it's like dope.
8131_117016_000056_000007	You start out on a little, and you have to go all the way."	You start out on a little, and you have to go all the way."
8131_117016_000057_000000	"It didn't affect Honest Izzy," Gordon pointed out.	"It didn't affect Honest Izzy," Gordon pointed out.
8131_117016_000058_000000	"Nope.	"Nope.
8131_117016_000058_000001	Because Izzy is always honest, according to how he sees it.	Because Izzy is always honest, according to how he sees it.
8131_117016_000058_000002	But you got Earth ideas of the stuff, like I had once.	But you got Earth ideas of the stuff, like I had once.
8131_117016_000058_000003	Too bad." He sighed ponderously.	Too bad." He sighed ponderously.
8131_117016_000059_000000	The week moved on.	The week moved on.
8131_117016_000059_000001	The groups grew more experienced, and Murdoch was training a new squad every night.	The groups grew more experienced, and Murdoch was training a new squad every night.
8131_117016_000059_000002	Gordon's own squad was equipped with shields now, and they were doing better.	Gordon's own squad was equipped with shields now, and they were doing better.
8131_117016_000059_000003	The number of muggings and holdups in the section was going down.	The number of muggings and holdups in the section was going down.
8131_117016_000061_000000	After that, they began to go hunting for the members of the gang.	After that, they began to go hunting for the members of the gang.
8131_117016_000061_000001	They had the names of nearly all of them, and some pretty good ideas of their hide-outs.	They had the names of nearly all of them, and some pretty good ideas of their hide outs.
8131_117016_000062_000000	It wasn't exactly legal; but nothing was, here.	It wasn't exactly legal; but nothing was, here.
8131_117016_000062_000001	If a doctor's job was to prevent illness, instead of merely curing it, then why shouldn't it be a policeman's job to prevent crime?	If a doctor's job was to prevent illness, instead of merely curing it, then why shouldn't it be a policeman's job to prevent crime?
8131_117016_000062_000002	Here, that was best done by wiping out the Stonewall gang to the last member.	Here, that was best done by wiping out the Stonewall gang to the last member.
8131_117016_000063_000000	This could lead to abuses, as he'd seen on Earth.	This could lead to abuses, as he'd seen on Earth.
8131_117016_000064_000000	The gang had begun to break up, but the nucleus would be the last to go. The police had orders to beat any member on sight, now.	The gang had begun to break up, but the nucleus would be the last to go. The police had orders to beat any member on sight, now.
8131_117016_000064_000001	Citizens were appearing on the streets at night for the first time in years.	Citizens were appearing on the streets at night for the first time in years.
