3538_163619_000000_000000	(27) From J. Moe.	(twenty seven) From j Moe.	false	8.07	18.855	20.76197
3538_163619_000010_000000	'Kiss me, girl!' said the head.	'Kiss me, girl!' said the head.	true	140.39	142.96	20.480614
3538_163619_000011_000000	'Yes, I will kiss you,' said the man's daughter, and she did it, but she thought it was the worst bit of work that she had ever had to do in her life.	'Yes, I will kiss you,' said the man's daughter, and she did it, but she thought it was the worst bit of work that she had ever had to do in her life.	true	143.27	151.66	22.240196
3538_163619_000012_000000	So the heads all began to talk to each other, and to ask what they should do for this girl who was so full of kindliness.	So the heads all began to talk to each other, and to ask what they should do for this girl who was so full of kindliness.	true	152.75	158.65	23
3538_163619_000013_000000	'She shall be the prettiest girl that ever was, and fair and bright as the day,' said the first head.	'She shall be the prettiest girl that ever was, and fair and bright as the day,' said the first head.	true	158.99	163.75	23.926765
3538_163619_000014_000000	'Gold shall drop from her hair whenever she brushes it,' said the second.	'Gold shall drop from her hair whenever she brushes it,' said the second.	false	164.39	168.1	22.188581
3538_163619_000015_000000	'Gold shall drop from her mouth whenever she speaks,' said the third head.	'Gold shall drop from her mouth whenever she speaks,' said the third head.	false	168.86	173.25	21.694035
3538_163619_000016_000000	So when the man's daughter went home, looking as beautiful and bright as day, the step-mother and her daughter grew much more ill-tempered, and it was worse still when she began to talk, and they saw that golden coins dropped from her mouth.	So when the man's daughter went home, looking as beautiful and bright as day, the step mother and her daughter grew much more ill tempered, and it was worse still when she began to talk, and they saw that golden coins dropped from her mouth.	false	173.25	185.32	22.967278
3538_163619_000016_000001	The step-mother fell into such a towering passion that she drove the man's daughter into the pig-stye--she might stay there with her fine show of gold, the step-mother said, but she should not be permitted to set foot in the house.	The step mother fell into such a towering passion that she drove the man's daughter into the pig stye-she might stay there with her fine show of gold, the step mother said, but she should not be permitted to set foot in the house.	true	185.78	197.23	21.878122
3538_163619_000017_000000	It was not long before the mother wanted her own daughter to go to the stream to fetch some water.	It was not long before the mother wanted her own daughter to go to the stream to fetch some water.	false	197.87	202.09	16
3538_163619_000018_000000	When she got there with her pails, the first head rose up out of the water close to the bank.	When she got there with her pails, the first head rose up out of the water close to the bank.	true	202.73	207.25	23
3538_163619_000018_000001	'Wash me, girl!' it said.	'Wash me, girl!' it said.	true	207.65	209.98	20
3538_163619_000019_000000	'Wash yourself!' answered the woman's daughter.	'Wash yourself!' answered the woman's daughter.	true	210.14	213.13	21.31756
3538_163619_000020_000000	Then the second head appeared.	Then the second head appeared.	true	213.74	215.41	21.66343
3538_163619_000021_000000	'Brush me, girl!' said the head.	'Brush me, girl!' said the head.	false	215.75	218.13	18.073277
3538_163619_000022_000000	'Brush yourself!' said the woman's daughter.	'Brush yourself!' said the woman's daughter.	false	218.13	222.9	18.331436
3538_163619_000023_000000	So down it went to the bottom, and the third head came up.	So down it went to the bottom, and the third head came up.	false	222.9	225.97	21.990492
3538_163619_000024_000000	'Kiss me, girl!' said the head.	'Kiss me, girl!' said the head.	true	226.7	229.9	19.806465
3538_163619_000025_000000	'As if I would kiss your ugly mouth!' said the girl.	'As if I would kiss your ugly mouth!' said the girl.	true	230.48	234.16	24.328915
3538_163619_000026_000000	So again the heads talked together about what they should do for this girl who was so ill-tempered and full of her own importance, and they agreed that she should have a nose that was four ells long, and a jaw that was three ells, and a fir bush in the middle of her forehead, and every time she spoke ashes should fall from her mouth.	So again the heads talked together about what they should do for this girl who was so ill tempered and full of her own importance, and they agreed that she should have a nose that was four ells long, and a jaw that was three ells, and a fir bush in the middle of her forehead, and every time she spoke ashes should fall from her mouth.	false	235.07	255.48	21.49241
3538_163619_000027_000000	When she came back to the cottage door with her pails, she called to her mother who was inside, 'Open the door!'	When she came back to the cottage door with her pails, she called to her mother who was inside, 'Open the door!'	false	255.48	261.97	23.110802
3538_163619_000028_000000	'Open the door yourself, my own dear child!' said the mother.	'Open the door yourself, my own dear child!' said the mother.	false	262.58	266.1	23.264994
3538_163619_000029_000000	'I can't get near, because of my nose,' said the daughter.	'I can't get near, because of my nose,' said the daughter.	true	266.1	269.68	23
3538_163619_000030_000000	When the mother came and saw her you may imagine what a state of mind she was in, and how she screamed and lamented, but neither the nose nor the jaw grew any the less for that.	When the mother came and saw her you may imagine what a state of mind she was in, and how she screamed and lamented, but neither the nose nor the jaw grew any the less for that.	false	270.32	280.72	18
3538_163619_000031_000000	Now the brother, who was in service in the King's palace, had taken a portrait of his sister, and he had carried the picture away with him, and every morning and evening he knelt down before it and prayed for his sister, so dearly did he love her.	Now the brother, who was in service in the King's palace, had taken a portrait of his sister, and he had carried the picture away with him, and every morning and evening he knelt down before it and prayed for his sister, so dearly did he love her.	false	281.75	295.12	23.983498
3538_163619_000032_000000	The other stable-boys had heard him doing this, so they peeped through the key-hole into his room, and saw that he was kneeling there before a picture; so they told everyone that every morning and evening the youth knelt down and prayed to an idol which he had; and at last they went to the King himself, and begged that he too would peep through the key-hole, and see for himself what the youth did.	The other stable boys had heard him doing this, so they peeped through the key hole into his room, and saw that he was kneeling there before a picture; so they told everyone that every morning and evening the youth knelt down and prayed to an idol which he had; and at last they went to the King himself, and begged that he too would peep through the key hole, and see for himself what the youth did.	false	295.55	315.73	21.293413
3538_163619_000032_000001	At first the King would not believe this, but after a long, long time, they prevailed with him, and he crept on tip-toe to the door, peeped through, and saw the youth on his knees, with his hands clasped together before a picture which was hanging on the wall.	At first the King would not believe this, but after a long, long time, they prevailed with him, and he crept on tip toe to the door, peeped through, and saw the youth on his knees, with his hands clasped together before a picture which was hanging on the wall.	true	316.28	330.55	22.110611
3538_163619_000033_000000	'Open the door!' cried the King, but the youth did not hear.	'Open the door!' cried the King, but the youth did not hear.	true	331.22	334.69	25.380295
3538_163619_000034_000000	So the King called to him again, but the youth was praying so fervently that he did not hear him this time either.	So the King called to him again, but the youth was praying so fervently that he did not hear him this time either.	false	335.18	341.44	20.505161
3538_163619_000035_000000	'Open the door, I say!' cried the King again.	'Open the door, I say!' cried the King again.	false	341.96	344.13	22.629522
3538_163619_000035_000001	'It is I! I want to come in.'	'It is I! I want to come in.'	true	344.13	345.91	20.964815
3538_163619_000036_000000	So the youth sprang to the door and unlocked it, but in his haste he forgot to hide the picture.	So the youth sprang to the door and unlocked it, but in his haste he forgot to hide the picture.	false	346.55	351.67	24.674444
3538_163619_000037_000000	When the King entered and saw it, he stood still as if he were in fetters, and could not stir from the spot, for the picture seemed to him so beautiful.	When the King entered and saw it, he stood still as if he were in fetters, and could not stir from the spot, for the picture seemed to him so beautiful.	true	352.58	360.52	20.301552
3538_163619_000038_000000	'There is nowhere on earth so beautiful a woman as this!' said the King.	'There is nowhere on earth so beautiful a woman as this!' said the King.	true	360.98	364.66	19.530394
3538_163619_000039_000000	But the youth told him that she was his sister, and that he had painted her, and that if she was not prettier than the picture she was at all events not uglier.	But the youth told him that she was his sister, and that he had painted her, and that if she was not prettier than the picture she was at all events not uglier.	false	365.15	374.11	20.6046
3538_163619_000040_000000	'Well, if she is as beautiful as that, I will have her for my Queen,' said the King, and he commanded the youth to go home and fetch her without a moment's delay, and to lose no time in coming back.	'Well, if she is as beautiful as that, I will have her for my Queen,' said the King, and he commanded the youth to go home and fetch her without a moment's delay, and to lose no time in coming back.	false	375.53	386.13	21.843433
3538_163619_000040_000001	The youth promised to make all the haste he could, and set forth from the King's palace.	The youth promised to make all the haste he could, and set forth from the King's palace.	false	386.13	391.27	23.07315
3538_163619_000041_000000	When the brother arrived at home to fetch his sister, her stepmother and step-sister would go too.	When the brother arrived at home to fetch his sister, her stepmother and step sister would go too.	true	392.12	397.6	22.60055
3538_163619_000041_000001	So they all set out together, and the man's daughter took with her a casket in which she kept her gold, and a dog which was called Little Snow.	So they all set out together, and the man's daughter took with her a casket in which she kept her gold, and a dog which was called Little Snow.	false	398.15	405.91	22.483843
3538_163619_000041_000002	These two things were all that she had inherited from her mother.	These two things were all that she had inherited from her mother.	true	406.46	409.45	21.396639
3538_163619_000041_000003	When they had travelled for some time they had to cross the sea, and the brother sat down at the helm, and the mother and the two half-sisters went to the fore-part of the vessel, and they sailed a long, long way.	When they had travelled for some time they had to cross the sea, and the brother sat down at the helm, and the mother and the two half sisters went to the fore part of the vessel, and they sailed a long, long way.	false	409.94	422.98	20.07466
3538_163619_000041_000004	At last they came in sight of land.	At last they came in sight of land.	true	423.53	426.07	18.425062
3538_163619_000042_000000	'Look at that white strand there; that is where we shall land,' said the brother, pointing across the sea.	'Look at that white strand there; that is where we shall land,' said the brother, pointing across the sea.	false	426.56	432.07	22.359385
3538_163619_000043_000000	'What is my brother saying?' inquired the man's daughter.	'What is my brother saying?' inquired the man's daughter.	false	432.74	435.4	21
3538_163619_000044_000000	'He says that you are to throw your casket out into the sea,' answered the step-mother.	'He says that you are to throw your casket out into the sea,' answered the step mother.	true	435.89	439.66	22.699968
3538_163619_000045_000000	'Well, if my brother says so, I must do it,' said the man's daughter, and she flung her casket into the sea.	'Well, if my brother says so, I must do it,' said the man's daughter, and she flung her casket into the sea.	true	440.6	446.71	23.559109
3538_163619_000046_000000	When they had sailed for some time longer, the brother once more pointed over the sea.	When they had sailed for some time longer, the brother once more pointed over the sea.	false	448.43	452.77	22.751444
3538_163619_000046_000001	'There you may see the palace to which we are bound,' said he.	'There you may see the palace to which we are bound,' said he.	false	452.96	456.78	21.179852
3538_163619_000047_000000	'What is my brother saying?' asked the man's daughter.	'What is my brother saying?' asked the man's daughter.	true	456.78	459.19	20
3538_163619_000048_000000	'Now he says that you are to throw your dog into the sea,' answered the step-mother.	'Now he says that you are to throw your dog into the sea,' answered the step mother.	false	459.95	463.78	22.896946
3538_163619_000049_000000	The man's daughter wept, and was sorely troubled, for Little Snow was the dearest thing she had on earth, but at last she threw him overboard.	The man's daughter wept, and was sorely troubled, for Little Snow was the dearest thing she had on earth, but at last she threw him overboard.	true	464.21	471.63	22.778587
3538_163619_000050_000000	'If my brother says that, I must do it, but Heaven knows how unwilling I am to throw thee out, Little Snow!' said she.	'If my brother says that, I must do it, but Heaven knows how unwilling I am to throw thee out, Little Snow!' said she.	false	471.63	480.45	18.737776
3538_163619_000051_000000	So they sailed onwards a long way farther.	So they sailed onwards a long way farther.	true	480.45	483.19	24.08693
3538_163619_000052_000000	'There may'st thou see the King coming out to meet thee,' said the brother, pointing to the sea-shore.	'There may'st thou see the King coming out to meet thee,' said the brother, pointing to the sea shore.	false	483.98	488.98	23
3538_163619_000053_000000	'What is my brother saying?' asked his sister again.	'What is my brother saying?' asked his sister again.	true	489.53	492.55	21.470219
3538_163619_000054_000000	'Now he says that you are to make haste and throw yourself overboard,' answered the step-mother.	'Now he says that you are to make haste and throw yourself overboard,' answered the step mother.	true	493.1	498.07	23.23507
3538_163619_000055_000000	She wept and she wailed, but as her brother had said that, she thought she must do it; so she leaped into the sea.	She wept and she wailed, but as her brother had said that, she thought she must do it; so she leaped into the sea.	true	498.77	505.32	20.96993
3538_163619_000056_000000	But when they arrived at the palace, and the King beheld the ugly bride with a nose that was four ells long, a jaw that was three ells, and a forehead that had a bush in the middle of it, he was quite terrified; but the wedding feast was all prepared, as regarded brewing and baking, and all the wedding guests were sitting waiting, so, ugly as she was, the King was forced to take her.	But when they arrived at the palace, and the King beheld the ugly bride with a nose that was four ells long, a jaw that was three ells, and a forehead that had a bush in the middle of it, he was quite terrified; but the wedding feast was all prepared, as regarded brewing and baking, and all the wedding guests were sitting waiting, so, ugly as she was, the King was forced to take her.	false	505.32	532.3	22.145113
3538_163619_000057_000000	But he was very wroth, and none can blame him for that; so he caused the brother to be thrown into a pit full of snakes.	But he was very wroth, and none can blame him for that; so he caused the brother to be thrown into a pit full of snakes.	true	532.76	540.04	21.357124
3538_163619_000058_000000	On the first Thursday night after this, a beautiful maiden came into the kitchen of the palace, and begged the kitchen-maid, who slept there, to lend her a brush.	On the first Thursday night after this, a beautiful maiden came into the kitchen of the palace, and begged the kitchen maid, who slept there, to lend her a brush.	true	541.01	549.43	24.606125
3538_163619_000058_000001	She begged very prettily, and got it, and then she brushed her hair, and the gold dropped from it.	She begged very prettily, and got it, and then she brushed her hair, and the gold dropped from it.	false	549.65	555.18	24.637081
3538_163619_000059_000000	A little dog was with her, and she said to it, 'Go out, Little Snow, and see if it will soon be day!'	A little dog was with her, and she said to it, 'Go out, Little Snow, and see if it will soon be day!'	false	555.18	562.09	20.112328
3538_163619_000060_000000	This she said thrice, and the third time that she sent out the dog to see, it was very near dawn.	This she said thrice, and the third time that she sent out the dog to see, it was very near dawn.	false	562.73	569.37	21.63047
3538_163619_000060_000001	Then she was forced to depart, but as she went she said:	Then she was forced to depart, but as she went she said:	true	569.37	572.68	20.62663
3538_163619_000061_000000	'Out on thee, ugly Bushy Bride, Sleeping so soft by the young King's side, On sand and stones my bed I make, And my brother sleeps with the cold snake, Unpitied and unwept.'	'Out on thee, ugly Bushy Bride, Sleeping so soft by the young King's side, On sand and stones my bed I make, And my brother sleeps with the cold snake, Unpitied and unwept.'	false	573.11	585.55	17.620646
3538_163619_000062_000000	I shall come twice more, and then never again,' said she.	I shall come twice more, and then never again,' said she.	true	586.22	589.87	22.063196
3538_163619_000063_000000	In the morning the kitchen-maid related what she had seen and heard, and the King said that next Thursday night he himself would watch in the kitchen and see if this were true, and when it had begun to grow dark he went out into the kitchen to the girl.	In the morning the kitchen maid related what she had seen and heard, and the King said that next Thursday night he himself would watch in the kitchen and see if this were true, and when it had begun to grow dark he went out into the kitchen to the girl.	false	590.6	603.04	22.5297
3538_163619_000063_000001	But though he rubbed his eyes and did everything he could to keep himself awake it was all in vain, for the Bushy Bride crooned and sang till his eyes were fast closed, and when the beautiful young maiden came he was sound asleep and snoring.	But though he rubbed his eyes and did everything he could to keep himself awake it was all in vain, for the Bushy Bride crooned and sang till his eyes were fast closed, and when the beautiful young maiden came he was sound asleep and snoring.	true	603.47	618.97	22.378124
3538_163619_000064_000000	This time also, as before, she borrowed a brush and brushed her hair with it, and the gold dropped down as she did it; and again she sent the dog out three times, and when day dawned she departed, but as she was going she said as she had said before, 'I shall come once more, and then never again.'	This time also, as before, she borrowed a brush and brushed her hair with it, and the gold dropped down as she did it; and again she sent the dog out three times, and when day dawned she departed, but as she was going she said as she had said before, 'I shall come once more, and then never again.'	true	619.64	638.2	22.034132
3538_163619_000065_000000	On the third Thursday night the King once more insisted on keeping watch.	On the third Thursday night the King once more insisted on keeping watch.	false	639.41	642.85	24.18472
3538_163619_000065_000001	Then he set two men to hold him; each of them was to take an arm, and shake him and jerk him by the arm whenever he seemed to be going to fall asleep; and he set two men to watch his Bushy Bride.	Then he set two men to hold him; each of them was to take an arm, and shake him and jerk him by the arm whenever he seemed to be going to fall asleep; and he set two men to watch his Bushy Bride.	false	643.13	653.5	20.895975
3538_163619_000065_000002	But as the night wore on the Bushy Bride again began to croon and to sing, so that his eyes began to close and his head to droop on one side.	But as the night wore on the Bushy Bride again began to croon and to sing, so that his eyes began to close and his head to droop on one side.	false	654.53	662.77	18
3538_163619_000065_000003	Then came the lovely maiden, and got the brush and brushed her hair till the gold dropped from it, and then she sent her Little Snow out to see if it would soon be day, and this she did three times.	Then came the lovely maiden, and got the brush and brushed her hair till the gold dropped from it, and then she sent her Little Snow out to see if it would soon be day, and this she did three times.	false	663.08	675.22	20.87333
3538_163619_000065_000004	The third time it was just beginning to grow light, and then she said:	The third time it was just beginning to grow light, and then she said:	true	675.59	680.02	22.547565
3538_163619_000066_000000	'Out on thee, ugly Bushy Bride, Sleeping so soft by the young King's side, On sand and stones my bed I make, And my brother sleeps with the cold snake, Unpitied and unwept.'	'Out on thee, ugly Bushy Bride, Sleeping so soft by the young King's side, On sand and stones my bed I make, And my brother sleeps with the cold snake, Unpitied and unwept.'	false	680.24	692.59	20.441555
3538_163619_000067_000000	'Now I shall never come again,' she said, and then she turned to go.	'Now I shall never come again,' she said, and then she turned to go.	true	693.29	697.45	19.399279
3538_163619_000067_000001	But the two men who were holding the King by the arms seized his hands and forced a knife into his grasp, and then made him cut her little finger just enough to make it bleed.	But the two men who were holding the King by the arms seized his hands and forced a knife into his grasp, and then made him cut her little finger just enough to make it bleed.	false	697.82	707.46	22.941214
3538_163619_000068_000000	Thus the true bride was freed.	Thus the true bride was freed.	false	707.46	709.89	22.583399
3538_163619_000068_000001	The King then awoke, and she told him all that had taken place, and how her step-mother and step-sister had betrayed her.	The King then awoke, and she told him all that had taken place, and how her step mother and step sister had betrayed her.	false	709.89	715.87	23.21646
3538_163619_000068_000002	Then the brother was at once taken out of the snake-pit--the snakes had never touched him--and the step-mother and step-sister were flung down into it instead of him.	Then the brother was at once taken out of the snake pit-the snakes had never touched him-and the step mother and step sister were flung down into it instead of him.	false	716.18	725.44	21.262312
3538_163619_000069_000000	No one can tell how delighted the King was to get rid of that hideous Bushy Bride, and get a Queen who was bright and beautiful as day itself.	No one can tell how delighted the King was to get rid of that hideous Bushy Bride, and get a Queen who was bright and beautiful as day itself.	false	726.26	762.12	22.004408
