4852_28319_000000_000000	CHAPTER 10	CHAPTER ten	false	0.6	9.93	21.740099
4852_28319_000003_000000	Chris therefore threw himself into all the preliminaries of his task. His head swam when he laid it on his pillow at night, and Becky Boozer would stand with her hands on her barrel-sized hips, shaking her hat until its plumes and roses waved madly, over "her boy's" shadowed eyes and weary air.	Chris therefore threw himself into all the preliminaries of his task. His head swam when he laid it on his pillow at night, and Becky Boozer would stand with her hands on her barrel sized hips, shaking her hat until its plumes and roses waved madly, over "her boy's" shadowed eyes and weary air.	false	89.1	108.39	19.351667
4852_28319_000004_000000	For Chris was now as accepted a member of the household as Mr. Wicker himself, and had it not been for the robust guffaws of Ned Cilley, and the ministrations of the now devoted Becky, Chris's days would have been tedious indeed.	For Chris was now as accepted a member of the household as mr Wicker himself, and had it not been for the robust guffaws of Ned Cilley, and the ministrations of the now devoted Becky, Chris's days would have been tedious indeed.	false	108.39	121.27	19.379078
4852_28319_000005_000000	One afternoon when he returned, after a rest, to Mr. Wicker's study, he saw that there was something new in the room.	One afternoon when he returned, after a rest, to mr Wicker's study, he saw that there was something new in the room.	false	121.58	128.29	19.258337
4852_28319_000005_000001	A bowl with a goldfish in it stood on the table, but Mr. Wicker was not to be seen. Now, however, Chris was not the boy he had been a few weeks before.	A bowl with a goldfish in it stood on the table, but mr Wicker was not to be seen. Now, however, Chris was not the boy he had been a few weeks before.	false	128.54	137.895	20
4852_28319_000005_000002	He went straight to the bowl and addressed the fish.	He went straight to the bowl and addressed the fish.	false	137.895	140.5	20.672243
4852_28319_000006_000000	"Sir," he said to the goldfish, "I am here.	"Sir," he said to the goldfish, "I am here.	false	140.96	144.7	21.301693
4852_28319_000006_000001	What shall I do first?"	What shall I do first?"	true	144.98	146.77	19.496614
4852_28319_000007_000000	The goldfish might almost have been said to have changed its expression and smiled, before, brushing a drop of water from his sleeve, Mr. Wicker stood beside the table smiling.	The goldfish might almost have been said to have changed its expression and smiled, before, brushing a drop of water from his sleeve, mr Wicker stood beside the table smiling.	false	147.59	157.51	20.450018
4852_28319_000008_000000	"How you have improved, my boy!" he exclaimed.	"How you have improved, my boy!" he exclaimed.	true	157.88	161.01	19.199032
4852_28319_000008_000001	"It is now time for you to try, and this is as good a change as any."	"It is now time for you to try, and this is as good a change as any."	false	161.01	165.07	20.813913
4852_28319_000009_000000	All at once, at the imminent prospect of really changing himself into some other form, Chris became frightened and his hands grew cold.	All at once, at the imminent prospect of really changing himself into some other form, Chris became frightened and his hands grew cold.	false	165.56	172.68	20.938581
4852_28319_000010_000000	"Oh, sir!	"Oh, sir!	false	172.68	174.1	20.79731
4852_28319_000010_000001	Do you really think I know how?" he cried, gazing up into the face of his master.	Do you really think I know how?" he cried, gazing up into the face of his master.	false	174.32	178.96	21.376612
4852_28319_000010_000002	"Suppose I change and can't change back?"	"Suppose I change and can't change back?"	true	179.27	182.26	21.446009
4852_28319_000011_000000	Mr. Wicker shook his head with a smile.	mr Wicker shook his head with a smile.	false	182.48	184.69	17.869219
4852_28319_000012_000000	"Never fear, Christopher.	"Never fear, Christopher.	true	184.97	186.45	21.13039
4852_28319_000012_000001	You know enough to start, and I feel reasonably sure that you will be quite able to change back again.	You know enough to start, and I feel reasonably sure that you will be quite able to change back again.	false	186.45	192.31	19.784079
4852_28319_000012_000002	If you get stuck I can help you.	If you get stuck I can help you.	true	192.56	194.38	20.951523
4852_28319_000012_000003	Come now," he said, putting out his hand to touch Chris's shoulder in a reassuring way, "here you go.	Come now," he said, putting out his hand to touch Chris's shoulder in a reassuring way, "here you go.	false	194.42	201.66	19.685633
4852_28319_000012_000004	Remember Incantation Seventy-three, Book One."	Remember Incantation Seventy three, Book One."	true	201.66	204.9	19.849962
4852_28319_000013_000000	Chris stared at the fishbowl, empty now.	Chris stared at the fishbowl, empty now.	false	204.9	208.5	20.235926
4852_28319_000013_000001	He remembered Incantation 73, Book One, quite well, but his knees began to tremble and he stood as if paralyzed.	He remembered Incantation seventy three, Book One, quite well, but his knees began to tremble and he stood as if paralyzed.	false	208.5	216.19	19.172855
4852_28319_000013_000002	Mr. Wicker waited patiently beside him for a few moments for Chris to get up his courage.	mr Wicker waited patiently beside him for a few moments for Chris to get up his courage.	true	216.2	220.44	16
4852_28319_000014_000000	Then as nothing happened, with a voice like a whip Mr. Wicker said: "Start at once!"	Then as nothing happened, with a voice like a whip mr Wicker said: "Start at once!"	false	220.44	225.57	20.254026
4852_28319_000015_000000	Chris was so startled at his usually gentle master's tone that without further thought or effort on his part, he began intoning to himself the words and sounds of Incantation 73, Book One.	Chris was so startled at his usually gentle master's tone that without further thought or effort on his part, he began intoning to himself the words and sounds of Incantation seventy three, Book One.	false	225.57	237.61	19.66069
4852_28319_000015_000001	As he went on, concentrating on becoming a goldfish in the bowl on the table, he became aware of a humming sensation in his head.	As he went on, concentrating on becoming a goldfish in the bowl on the table, he became aware of a humming sensation in his head.	false	237.89	244.81	17
4852_28319_000015_000002	This grew until it seemed that all his body was filled with the strange new vibration, tingling from his feet to the crown of his head.	This grew until it seemed that all his body was filled with the strange new vibration, tingling from his feet to the crown of his head.	false	245.36	252.66	20
4852_28319_000015_000003	The sensation spread, faster and faster.	The sensation spread, faster and faster.	false	252.66	256	21.083979
4852_28319_000015_000004	His head swam and he felt faint and a little sick, but he persisted through the final words.	His head swam and he felt faint and a little sick, but he persisted through the final words.	true	256.16	260.59	20
4852_28319_000015_000005	Somewhere deep inside him there seemed a sudden lurch, and then a wonderfully cool, liquid sensation.	Somewhere deep inside him there seemed a sudden lurch, and then a wonderfully cool, liquid sensation.	false	260.96	266.44	19.709652
4852_28319_000015_000006	He felt buoyant and rested and looked about, only to get a wavery, enlarged glimpse of Mr. Wicker, looking more like a reflection in a circus mirror than himself.	He felt buoyant and rested and looked about, only to get a wavery, enlarged glimpse of mr Wicker, looking more like a reflection in a circus mirror than himself.	false	266.66	276.9	19.88846
4852_28319_000015_000007	With a light twist of his body Chris floated over, to see that the room looked the same, and rolling back, could see that Mr. Wicker was peering in at him from above and smiling broadly.	With a light twist of his body Chris floated over, to see that the room looked the same, and rolling back, could see that mr Wicker was peering in at him from above and smiling broadly.	false	276.9	286.92	20
4852_28319_000016_000000	[Illustration]	[Illustration]	false	286.92	287.67	-20
4852_28319_000017_000000	"Good Lord--I'm a fish!" Chris said, and he heard the words muffled as they came back to him through the water of his bowl.	"Good Lord-I'm a fish!" Chris said, and he heard the words muffled as they came back to him through the water of his bowl.	false	287.67	295.75	19.87631
4852_28319_000017_000001	Well, what do you know?	Well, what do you know?	true	296	297.525	19.402151
4852_28319_000017_000002	he thought, not without a feeling of pride, and commenced experimenting with his tail and fins with such enthusiasm and delight that some little time elapsed before Mr. Wicker's voice boomed close by.	he thought, not without a feeling of pride, and commenced experimenting with his tail and fins with such enthusiasm and delight that some little time elapsed before mr Wicker's voice boomed close by.	false	297.525	308.89	19
4852_28319_000018_000000	"Better come back now.	"Better come back now.	true	309.95	311.445	19.857056
4852_28319_000018_000001	Take it slowly, son.	Take it slowly, son.	false	311.445	313.2	18.686787
4852_28319_000018_000002	Seventy-four, Book One: The Return."	Seventy four, Book One: The Return."	true	313.2	316.38	21.833351
4852_28319_000019_000000	The same strange sensations flooded Chris as he made the change back to his own shape, but when he stood once more on his own two feet on the carpet in Mr. Wicker's study, he was pleased and happy despite his weakness.	The same strange sensations flooded Chris as he made the change back to his own shape, but when he stood once more on his own two feet on the carpet in mr Wicker's study, he was pleased and happy despite his weakness.	false	316.38	328.93	19.373528
4852_28319_000019_000001	Mr. Wicker took hold of his arm and helped him to a chair, and taking a small vial from the cupboard at the end of the room, he dropped a pellet into it and handed it to Chris.	mr Wicker took hold of his arm and helped him to a chair, and taking a small vial from the cupboard at the end of the room, he dropped a pellet into it and handed it to Chris.	false	329.09	338.35	20.000109
4852_28319_000020_000000	"This will seem to smoke.	"This will seem to smoke.	false	338.81	340.455	20.574402
4852_28319_000020_000001	Sniff the smoke and drink the liquid that remains," he said.	Sniff the smoke and drink the liquid that remains," he said.	false	340.455	343.86	19.847466
4852_28319_000021_000000	[Illustration]	[Illustration]	false	343.86	344.25	3
4852_28319_000022_000000	Chris did as he was told, and his momentary weakness vanished, leaving him quieted and as strong as usual.	Chris did as he was told, and his momentary weakness vanished, leaving him quieted and as strong as usual.	false	344.25	349.93	17
4852_28319_000023_000000	"There now," Mr. Wicker said, rubbing his hands with immense satisfaction, "that was not so bad, was it?	"There now," mr Wicker said, rubbing his hands with immense satisfaction, "that was not so bad, was it?	false	350.36	357.31	18.378723
4852_28319_000023_000001	A peculiar feeling, but as you come to do it more often and more quickly, the change will come more rapidly and in time you will be scarcely aware of the sensations at all." He looked at his pupil with pride.	A peculiar feeling, but as you come to do it more often and more quickly, the change will come more rapidly and in time you will be scarcely aware of the sensations at all." He looked at his pupil with pride.	false	357.38	369.28	20.181152
4852_28319_000023_000002	"You will do famously, my boy.	"You will do famously, my boy.	true	369.56	371.64	19.41827
4852_28319_000023_000003	In another moment, when you have rested, we shall try another one."	In another moment, when you have rested, we shall try another one."	false	371.64	374.77	21.81764
4852_28319_000024_000000	From that time, Chris became increasingly proficient, and as his ability grew he began to find magic a wonderful game, which he and Mr. Wicker played together.	From that time, Chris became increasingly proficient, and as his ability grew he began to find magic a wonderful game, which he and mr Wicker played together.	true	375.23	383.8	19.851925
4852_28319_000024_000001	They played this new and unique form of hide-and-seek, each one taking a new shape, turn by turn, as a challenge to the other's powers of imagination and detection.	They played this new and unique form of hide and seek, each one taking a new shape, turn by turn, as a challenge to the other's powers of imagination and detection.	false	384.08	393.76	18
4852_28319_000024_000002	Soon Chris could turn himself into a limited number of things, for even Mr. Wicker's magic had a limit: a singing bird in a cage, a part of the pattern in the brocaded curtains, or a section of the design in the Indian rug.	Soon Chris could turn himself into a limited number of things, for even mr Wicker's magic had a limit: a singing bird in a cage, a part of the pattern in the brocaded curtains, or a section of the design in the Indian rug.	false	394.16	406.72	17
4852_28319_000024_000003	The bluebottle fly or the goldfish became as easy as saying "Eureka!" and on one occasion Chris turned himself into the chair on which Mr. Wicker was sitting, and then walked across the room on his four wooden legs carrying Mr. Wicker, who laughed more heartily than he had in years at this display on the part of his student.	The bluebottle fly or the goldfish became as easy as saying "Eureka!" and on one occasion Chris turned himself into the chair on which mr Wicker was sitting, and then walked across the room on his four wooden legs carrying mr Wicker, who laughed more heartily than he had in years at this display on the part of his student.	false	406.82	423.7	20.513956
4852_28319_000025_000000	One day Chris wandered alone into the dusty shop.	One day Chris wandered alone into the dusty shop.	true	427.97	431.265	20.893839
4852_28319_000025_000001	The time had nearly come when he could walk about in early Georgetown and know that it would still be the Georgetown of the past, and not the one into which he had been born.	The time had nearly come when he could walk about in early Georgetown and know that it would still be the Georgetown of the past, and not the one into which he had been born.	false	431.265	440.2	19.918066
4852_28319_000025_000002	This afternoon, a rainy one, he had tired of changing himself into and out of objects.	This afternoon, a rainy one, he had tired of changing himself into and out of objects.	false	440.27	445.12	17
4852_28319_000025_000003	Mr. Wicker was busy, and Becky Boozer had gone off to market accompanied by Ned Cilley.	mr Wicker was busy, and Becky Boozer had gone off to market accompanied by Ned Cilley.	true	445.16	450.16	18
4852_28319_000025_000004	Chris felt somewhat forlorn and lonely, as any boy might, and kicked an old piece of wood ahead of him into the darkness of the shop.	Chris felt somewhat forlorn and lonely, as any boy might, and kicked an old piece of wood ahead of him into the darkness of the shop.	false	451.37	460	17.28745
4852_28319_000026_000000	Going up to the shop window, he stood with his hands thrust into his pockets staring glumly first out the window and then, idly, at the three objects he had once loved to contemplate, the _Mirabelle_ in her bottle, the coil of heavy rope, and the carved wooden figure of the Nubian boy.	Going up to the shop window, he stood with his hands thrust into his pockets staring glumly first out the window and then, idly, at the three objects he had once loved to contemplate, the underscore Mirabelle underscore in her bottle, the coil of heavy rope, and the carved wooden figure of the Nubian boy.	false	460.37	477.25	20.586214
4852_28319_000027_000000	Without interest at first, Chris stared at the little Negro boy, so gaily dressed in full red trousers, gilded jacket and white turban. The figure's shoes, carved in some Eastern style, had curved up-pointing toes.	Without interest at first, Chris stared at the little Negro boy, so gaily dressed in full red trousers, gilded jacket and white turban. The figure's shoes, carved in some Eastern style, had curved up pointing toes.	false	477.35	491.28	20.433357
4852_28319_000027_000001	Then all at once the idea came to Chris.	Then all at once the idea came to Chris.	false	491.28	494.11	20.535406
4852_28319_000027_000002	If he was to be a magician, could he make this boy come to life?	If he was to be a magician, could he make this boy come to life?	true	494.36	497.86	21.450201
4852_28319_000028_000000	The prospect excited him wildly, for he had no companion with whom to laugh and share jokes.	The prospect excited him wildly, for he had no companion with whom to laugh and share jokes.	false	497.99	503.68	19.846478
4852_28319_000028_000001	Grown people, however gay and kind, were never quite the same.	Grown people, however gay and kind, were never quite the same.	true	503.84	508.03	21.911495
4852_28319_000028_000002	The more he thought of it, the more Chris knew it had to be attempted.	The more he thought of it, the more Chris knew it had to be attempted.	true	508.13	511.48	21.971458
4852_28319_000028_000003	He squatted on his haunches, examining the carved wooden figure attentively, and felt convinced that, once alive, the boy would be an ideal and happy companion.	He squatted on his haunches, examining the carved wooden figure attentively, and felt convinced that, once alive, the boy would be an ideal and happy companion.	true	511.64	520.24	18
4852_28319_000029_000000	But how did one change inanimate to animate?	But how did one change inanimate to animate?	false	520.82	523.785	21.400196
4852_28319_000029_000001	Chris got up and stole back to Mr. Wicker's door.	Chris got up and stole back to mr Wicker's door.	true	523.785	526.41	21
4852_28319_000029_000002	He heard the magician going up the spiral staircase to his room above, and after changing himself to a mouse to slip under the door and see that the room was really empty, Chris resumed his proper shape and opened the doors of the cupboard at the far end of the room.	He heard the magician going up the spiral staircase to his room above, and after changing himself to a mouse to slip under the door and see that the room was really empty, Chris resumed his proper shape and opened the doors of the cupboard at the far end of the room.	false	526.41	539.83	19.9784
4852_28319_000030_000000	On its top shelf was Book Three, a book a foot thick and bound in heavy brass studded with semi-precious stones in the form of signs and symbols.	On its top shelf was Book Three, a book a foot thick and bound in heavy brass studded with semi precious stones in the form of signs and symbols.	false	540.35	549.315	19
4852_28319_000030_000001	With difficulty, standing on tiptoe, Chris lifted it down, and placing it on the floor, turned over page after page.	With difficulty, standing on tiptoe, Chris lifted it down, and placing it on the floor, turned over page after page.	true	549.315	556.18	20
4852_28319_000031_000000	The afternoon, rainy before, increased in storm.	The afternoon, rainy before, increased in storm.	true	556.37	559.725	18
4852_28319_000031_000001	Dusk came two hours before its time; thunder snarled in the sky.	Dusk came two hours before its time; thunder snarled in the sky.	true	559.725	564.36	21.196962
4852_28319_000032_000000	At last Chris found it.	At last Chris found it.	false	564.36	566.22	21.296152
4852_28319_000032_000001	There were the words, and there the charm. Certain elements were to be mixed and poured at the proper time.	There were the words, and there the charm. Certain elements were to be mixed and poured at the proper time.	true	566.22	572.53	20.527103
4852_28319_000032_000002	He hurried, memorizing as he closed the book, and hoisted it once more to its high shelf.	He hurried, memorizing as he closed the book, and hoisted it once more to its high shelf.	true	572.54	577.66	20.972162
4852_28319_000032_000003	Looking about, he found the ingredients that had been listed, and in an empty vial poured first two drops of this, and then seventeen of that, and ran to heat it at the fire.	Looking about, he found the ingredients that had been listed, and in an empty vial poured first two drops of this, and then seventeen of that, and ran to heat it at the fire.	false	577.73	586.87	20.779144
4852_28319_000033_000000	Mr. Wicker began moving about upstairs; the floorboards creaked, and still Chris could not leave until the potion fumed and glowed.	mr Wicker began moving about upstairs; the floorboards creaked, and still Chris could not leave until the potion fumed and glowed.	true	587.09	596.98	20.264523
4852_28319_000034_000000	After what seemed an endless time, amid a growing grind of thunder and in the almost darkened room, the phial in Chris's hand gave off an arching rosy glow.	After what seemed an endless time, amid a growing grind of thunder and in the almost darkened room, the phial in Chris's hand gave off an arching rosy glow.	false	597.05	606.52	14
4852_28319_000034_000001	Chris, his cheeks hot from excitement and the fire, tiptoed out just as Mr. Wicker's step creaked on the topmost tread of the spiral stair.	Chris, his cheeks hot from excitement and the fire, tiptoed out just as mr Wicker's step creaked on the topmost tread of the spiral stair.	false	606.68	614.86	21
4852_28319_000034_000002	With infinite caution Chris closed the door silently behind him, and running lightly forward, reached the figure of the Negro boy.	With infinite caution Chris closed the door silently behind him, and running lightly forward, reached the figure of the Negro boy.	false	615.08	621.91	20
4852_28319_000035_000000	The words came out, interrupted by peals and cracks of thunder.	The words came out, interrupted by peals and cracks of thunder.	false	622.19	631.29	19
4852_28319_000035_000001	The shop was black except for the paler crescent of the bow window giving onto the street.	The shop was black except for the paler crescent of the bow window giving onto the street.	false	631.29	636.39	20.46856
4852_28319_000035_000002	With a crash of thunder all but drowning out his words, the boy shouted in the emptiness of the shop as he poured the rosy liquid on the figure made of wood.	With a crash of thunder all but drowning out his words, the boy shouted in the emptiness of the shop as he poured the rosy liquid on the figure made of wood.	false	636.39	647.55	19.673874
4852_28319_000036_000000	And then, appalled at his audacity, Chris dropped the phial which splintered on the floor.	And then, appalled at his audacity, Chris dropped the phial which splintered on the floor.	false	647.55	653.2	20.592447
4852_28319_000036_000001	Watching there in the darkness, he shook so with nerves that he had to kneel.	Watching there in the darkness, he shook so with nerves that he had to kneel.	false	653.27	732.6	20.318691
