5442_41169_000000_000000	Chapter 29	Chapter twenty nine	false	1.44	12.855	16.863462
5442_41169_000003_000002	He couldn't collect it in three years!" he heard vigorously uttered by a round-shouldered, short, country gentleman, who had pomaded hair hanging on his embroidered collar, and new boots obviously put on for the occasion, with heels that tapped energetically as he spoke.	He couldn't collect it in three years!" he heard vigorously uttered by a round shouldered, short, country gentleman, who had pomaded hair hanging on his embroidered collar, and new boots obviously put on for the occasion, with heels that tapped energetically as he spoke.	true	135.17	153.01	18.131517
5442_41169_000003_000003	Casting a displeased glance at Levin, this gentleman sharply turned his back.	Casting a displeased glance at Levin, this gentleman sharply turned his back.	false	153.53	158.38	16.678045
5442_41169_000004_000000	"Yes, it's a dirty business, there's no denying," a small gentleman assented in a high voice.	"Yes, it's a dirty business, there's no denying," a small gentleman assented in a high voice.	false	159.2	164.86	17.149803
5442_41169_000005_000000	Next, a whole crowd of country gentlemen, surrounding a stout general, hurriedly came near Levin.	Next, a whole crowd of country gentlemen, surrounding a stout general, hurriedly came near Levin.	true	165.56	172.24	15
5442_41169_000005_000001	These persons were unmistakably seeking a place where they could talk without being overheard.	These persons were unmistakably seeking a place where they could talk without being overheard.	true	173.24	178.99	17.106672
5442_41169_000006_000000	"How dare he say I had his breeches stolen!	"How dare he say I had his breeches stolen!	false	180.11	182.64	12
5442_41169_000006_000001	Pawned them for drink, I expect.	Pawned them for drink, I expect.	false	182.64	185.52	19.442188
5442_41169_000006_000002	Damn the fellow, prince indeed!	Damn the fellow, prince indeed!	false	185.52	188.43	15.812455
5442_41169_000006_000003	He'd better not say it, the beast!"	He'd better not say it, the beast!"	false	188.43	190.92	16.880407
5442_41169_000007_000000	"But excuse me!	"But excuse me!	false	190.92	193.12	15.073027
5442_41169_000007_000001	They take their stand on the act," was being said in another group; "the wife must be registered as noble."	They take their stand on the act," was being said in another group; "the wife must be registered as noble."	false	193.43	200.29	17.168299
5442_41169_000008_000000	"Oh, damn your acts!	"Oh, damn your acts!	true	201.29	203.01	18.731703
5442_41169_000008_000001	I speak from my heart.	I speak from my heart.	true	203.01	204.46	20.679235
5442_41169_000008_000002	We're all gentlemen, aren't we?	We're all gentlemen, aren't we?	true	204.5	206.4	19.33938
5442_41169_000008_000003	Above suspicion."	Above suspicion."	true	206.4	207.73	19.499865
5442_41169_000009_000000	"Shall we go on, your excellency, _fine champagne?_"	"Shall we go on, your excellency, underscore fine champagne?underscore"	false	208.61	212.94	17.445107
5442_41169_000010_000000	Another group was following a nobleman, who was shouting something in a loud voice; it was one of the three intoxicated gentlemen.	Another group was following a nobleman, who was shouting something in a loud voice; it was one of the three intoxicated gentlemen.	false	212.94	220.6	17.264175
5442_41169_000011_000000	"I always advised Marya Semyonovna to let for a fair rent, for she can never save a profit," he heard a pleasant voice say.	"I always advised Marya Semyonovna to let for a fair rent, for she can never save a profit," he heard a pleasant voice say.	false	221.39	230.07	16.806292
5442_41169_000011_000001	The speaker was a country gentleman with gray whiskers, wearing the regimental uniform of an old general staff-officer.	The speaker was a country gentleman with gray whiskers, wearing the regimental uniform of an old general staff officer.	true	230.07	237.4	16
5442_41169_000011_000002	It was the very landowner Levin had met at Sviazhsky's.	It was the very landowner Levin had met at Sviazhsky's.	false	238.31	241.66	16.466516
5442_41169_000011_000003	He knew him at once.	He knew him at once.	true	242	243.58	19.703394
5442_41169_000011_000004	The landowner too stared at Levin, and they exchanged greetings.	The landowner too stared at Levin, and they exchanged greetings.	false	244.37	248.17	17.755657
5442_41169_000012_000000	"Very glad to see you!	"Very glad to see you!	true	248.81	250.275	16
5442_41169_000012_000001	To be sure!	To be sure!	true	250.275	251.26	19.872833
5442_41169_000012_000002	I remember you very well.	I remember you very well.	true	251.27	253	18.328894
5442_41169_000012_000003	Last year at our district marshal, Nikolay Ivanovitch's."	Last year at our district marshal, Nikolay Ivanovitch's."	true	253.37	256.63	15
5442_41169_000013_000000	"Well, and how is your land doing?" asked Levin.	"Well, and how is your land doing?" asked Levin.	true	257.63	261.34	15.975764
5442_41169_000014_000000	"Oh, still just the same, always at a loss," the landowner answered with a resigned smile, but with an expression of serenity and conviction that so it must be.	"Oh, still just the same, always at a loss," the landowner answered with a resigned smile, but with an expression of serenity and conviction that so it must be.	false	261.77	272.32	17.566671
5442_41169_000014_000001	"And how do you come to be in our province?" he asked. "Come to take part in our _coup d'etat?_" he said, confidently pronouncing the French words with a bad accent.	"And how do you come to be in our province?" he asked. "Come to take part in our underscore coup d'etat?underscore" he said, confidently pronouncing the French words with a bad accent.	false	273.14	283.51	17.542463
5442_41169_000014_000002	"All Russia's here--gentlemen of the bedchamber, and everything short of the ministry." He pointed to the imposing figure of Stepan Arkadyevitch in white trousers and his court uniform, walking by with a general.	"All Russia's here-gentlemen of the bedchamber, and everything short of the ministry." He pointed to the imposing figure of Stepan Arkadyevitch in white trousers and his court uniform, walking by with a general.	false	284.21	298.09	17.63184
5442_41169_000015_000000	"I ought to own that I don't very well understand the drift of the provincial elections," said Levin.	"I ought to own that I don't very well understand the drift of the provincial elections," said Levin.	true	299.06	304.72	16
5442_41169_000016_000000	The landowner looked at him.	The landowner looked at him.	true	305.42	307.09	17.385326
5442_41169_000017_000000	"Why, what is there to understand?	"Why, what is there to understand?	true	307.64	309.94	17
5442_41169_000017_000001	There's no meaning in it at all.	There's no meaning in it at all.	true	310.31	312.25	16.944742
5442_41169_000017_000002	It's a decaying institution that goes on running only by the force of inertia.	It's a decaying institution that goes on running only by the force of inertia.	true	312.86	317.74	14
5442_41169_000017_000003	Just look, the very uniforms tell you that it's an assembly of justices of the peace, permanent members of the court, and so on, but not of noblemen."	Just look, the very uniforms tell you that it's an assembly of justices of the peace, permanent members of the court, and so on, but not of noblemen."	false	318.17	329.13	16.155153
5442_41169_000018_000000	"Then why do you come?" asked Levin.	"Then why do you come?" asked Levin.	true	329.13	331.21	14
5442_41169_000019_000000	"From habit, nothing else.	"From habit, nothing else.	true	332.06	333.87	18.62238
5442_41169_000019_000001	Then, too, one must keep up connections.	Then, too, one must keep up connections.	false	333.87	336.79	19.338987
5442_41169_000019_000002	It's a moral obligation of a sort.	It's a moral obligation of a sort.	true	336.98	339.22	16.837759
5442_41169_000019_000003	And then, to tell the truth, there's one's own interests.	And then, to tell the truth, there's one's own interests.	true	339.35	342.61	17.700819
5442_41169_000019_000004	My son-in-law wants to stand as a permanent member; they're not rich people, and he must be brought forward.	My son in law wants to stand as a permanent member; they're not rich people, and he must be brought forward.	true	343.1	349.96	17.710943
5442_41169_000019_000005	These gentlemen, now, what do they come for?" he said, pointing to the malignant gentleman, who was talking at the high table.	These gentlemen, now, what do they come for?" he said, pointing to the malignant gentleman, who was talking at the high table.	true	350.33	358.51	16.828547
5442_41169_000020_000000	"That's the new generation of nobility."	"That's the new generation of nobility."	true	359.24	361.66	16.604286
5442_41169_000021_000000	"New it may be, but nobility it isn't.	"New it may be, but nobility it isn't.	false	362.39	365.88	17.316559
5442_41169_000021_000001	They're proprietors of a sort, but we're the landowners.	They're proprietors of a sort, but we're the landowners.	true	365.88	369.46	17.209269
5442_41169_000021_000002	As noblemen, they're cutting their own throats."	As noblemen, they're cutting their own throats."	true	369.77	372.52	16.17289
5442_41169_000022_000000	"But you say it's an institution that's served its time."	"But you say it's an institution that's served its time."	true	373.37	376.48	14
5442_41169_000023_000000	"That it may be, but still it ought to be treated a little more respectfully.	"That it may be, but still it ought to be treated a little more respectfully.	true	377.42	382.57	18.82985
5442_41169_000023_000001	Snetkov, now....	Snetkov, now....	true	383.33	384.61	15.660031
5442_41169_000023_000002	We may be of use, or we may not, but we're the growth of a thousand years.	We may be of use, or we may not, but we're the growth of a thousand years.	true	384.68	389.83	17.244593
5442_41169_000023_000003	If we're laying out a garden, planning one before the house, you know, and there you've a tree that's stood for centuries in the very spot.... Old and gnarled it may be, and yet you don't cut down the old fellow to make room for the flowerbeds, but lay out your beds so as to take advantage of the tree.	If we're laying out a garden, planning one before the house, you know, and there you've a tree that's stood for centuries in the very spot.... Old and gnarled it may be, and yet you don't cut down the old fellow to make room for the flowerbeds, but lay out your beds so as to take advantage of the tree.	false	389.99	409.72	18.18142
5442_41169_000023_000004	You won't grow him again in a year," he said cautiously, and he immediately changed the conversation.	You won't grow him again in a year," he said cautiously, and he immediately changed the conversation.	true	410.3	416.5	16.652271
5442_41169_000023_000005	"Well, and how is your land doing?"	"Well, and how is your land doing?"	true	417.05	419.65	22.337336
5442_41169_000024_000000	"Oh, not very well.	"Oh, not very well.	true	420.41	421.87	17.597742
5442_41169_000024_000001	I make five per cent."	I make five per cent."	true	421.88	423.37	18.61218
5442_41169_000025_000000	"Yes, but you don't reckon your own work.	"Yes, but you don't reckon your own work.	true	424.04	426.6	18.96118
5442_41169_000025_000001	Aren't you worth something too?	Aren't you worth something too?	false	426.6	428.56	16.775894
5442_41169_000025_000002	I'll tell you my own case.	I'll tell you my own case.	true	429.08	430.72	15
5442_41169_000025_000003	Before I took to seeing after the land, I had a salary of three hundred pounds from the service.	Before I took to seeing after the land, I had a salary of three hundred pounds from the service.	false	431.15	437.2	18.984797
5442_41169_000025_000004	Now I do more work than I did in the service, and like you I get five per cent. on the land, and thank God for that.	Now I do more work than I did in the service, and like you I get five per cent. on the land, and thank God for that.	false	437.84	445.12	16.458355
5442_41169_000025_000005	But one's work is thrown in for nothing."	But one's work is thrown in for nothing."	true	445.49	447.97	16.937098
5442_41169_000026_000000	"Then why do you do it, if it's a clear loss?"	"Then why do you do it, if it's a clear loss?"	true	449.06	451.81	18.799358
5442_41169_000027_000000	"Oh, well, one does it!	"Oh, well, one does it!	true	452.75	454.63	18.104483
5442_41169_000027_000001	What would you have?	What would you have?	true	455.15	456.39	18.07549
5442_41169_000027_000002	It's habit, and one knows it's how it should be.	It's habit, and one knows it's how it should be.	false	456.39	459.64	17.846863
5442_41169_000027_000003	And what's more," the landowner went on, leaning his elbows on the window and chatting on, "my son, I must tell you, has no taste for it.	And what's more," the landowner went on, leaning his elbows on the window and chatting on, "my son, I must tell you, has no taste for it.	false	459.98	468.94	17.218166
5442_41169_000027_000004	There's no doubt he'll be a scientific man.	There's no doubt he'll be a scientific man.	true	469.1	471.43	17.866402
5442_41169_000027_000005	So there'll be no one to keep it up.	So there'll be no one to keep it up.	true	471.86	473.92	16.83503
5442_41169_000027_000006	And yet one does it.	And yet one does it.	true	474.11	475.72	18
5442_41169_000027_000007	Here this year I've planted an orchard."	Here this year I've planted an orchard."	false	476.12	479.08	15
5442_41169_000028_000000	"Yes, yes," said Levin, "that's perfectly true.	"Yes, yes," said Levin, "that's perfectly true.	true	480.26	483.34	17
5442_41169_000028_000001	I always feel there's no real balance of gain in my work on the land, and yet one does it.... It's a sort of duty one feels to the land."	I always feel there's no real balance of gain in my work on the land, and yet one does it.... It's a sort of duty one feels to the land."	false	483.59	492.4	17
5442_41169_000029_000000	"But I tell you what," the landowner pursued; "a neighbor of mine, a merchant, was at my place.	"But I tell you what," the landowner pursued; "a neighbor of mine, a merchant, was at my place.	true	494.06	500.11	16.972933
5442_41169_000029_000001	We walked about the fields and the garden. 'No,' said he, 'Stepan Vassilievitch, everything's well looked after, but your garden's neglected.' But, as a fact, it's well kept up.	We walked about the fields and the garden. 'No,' said he, 'Stepan Vassilievitch, everything's well looked after, but your garden's neglected.' But, as a fact, it's well kept up.	false	500.39	513.01	16.434347
5442_41169_000029_000002	'To my thinking, I'd cut down that lime-tree.	'To my thinking, I'd cut down that lime tree.	false	513.26	516.39	20.665035
5442_41169_000029_000003	Here you've thousands of limes, and each would make two good bundles of bark.	Here you've thousands of limes, and each would make two good bundles of bark.	false	516.39	520.9	17
5442_41169_000029_000004	And nowadays that bark's worth something.	And nowadays that bark's worth something.	true	521.36	523.8	18
5442_41169_000029_000005	I'd cut down the lot.'"	I'd cut down the lot.'"	false	523.8	525.7	19.012487
5442_41169_000030_000000	"And with what he made he'd increase his stock, or buy some land for a trifle, and let it out in lots to the peasants," Levin added, smiling. He had evidently more than once come across those commercial calculations.	"And with what he made he'd increase his stock, or buy some land for a trifle, and let it out in lots to the peasants," Levin added, smiling. He had evidently more than once come across those commercial calculations.	true	526.4	539.62	16.99069
5442_41169_000030_000001	"And he'd make his fortune.	"And he'd make his fortune.	true	540.08	541.72	18.593582
5442_41169_000030_000002	But you and I must thank God if we keep what we've got and leave it to our children."	But you and I must thank God if we keep what we've got and leave it to our children."	false	541.79	546.16	12
5442_41169_000031_000000	"You're married, I've heard?" said the landowner.	"You're married, I've heard?" said the landowner.	false	546.74	550.03	16.844269
5442_41169_000032_000000	"Yes," Levin answered, with proud satisfaction.	"Yes," Levin answered, with proud satisfaction.	true	550.58	554.11	18.523066
5442_41169_000032_000001	"Yes, it's rather strange," he went on.	"Yes, it's rather strange," he went on.	true	554.24	556.99	19
5442_41169_000032_000002	"So we live without making anything, as though we were ancient vestals set to keep in a fire."	"So we live without making anything, as though we were ancient vestals set to keep in a fire."	false	557.39	563.83	17.566633
5442_41169_000033_000000	The landowner chuckled under his white mustaches.	The landowner chuckled under his white mustaches.	true	564.86	567.58	15.923026
5442_41169_000034_000000	"There are some among us, too, like our friend Nikolay Ivanovitch, or Count Vronsky, that's settled here lately, who try to carry on their husbandry as though it were a factory; but so far it leads to nothing but making away with capital on it."	"There are some among us, too, like our friend Nikolay Ivanovitch, or Count Vronsky, that's settled here lately, who try to carry on their husbandry as though it were a factory; but so far it leads to nothing but making away with capital on it."	true	568.55	583.99	17.413755
5442_41169_000035_000000	"But why is it we don't do like the merchants?	"But why is it we don't do like the merchants?	false	584.9	587.38	18
5442_41169_000035_000001	Why don't we cut down our parks for timber?" said Levin, returning to a thought that had struck him.	Why don't we cut down our parks for timber?" said Levin, returning to a thought that had struck him.	false	587.63	594.04	17.523357
5442_41169_000036_000000	"Why, as you said, to keep the fire in.	"Why, as you said, to keep the fire in.	true	594.89	597.91	19.095797
5442_41169_000036_000001	Besides that's not work for a nobleman.	Besides that's not work for a nobleman.	true	598.31	600.78	12
5442_41169_000036_000002	And our work as noblemen isn't done here at the elections, but yonder, each in our corner.	And our work as noblemen isn't done here at the elections, but yonder, each in our corner.	false	600.78	607.84	17.782684
5442_41169_000036_000003	There's a class instinct, too, of what one ought and oughtn't to do.	There's a class instinct, too, of what one ought and oughtn't to do.	false	608.36	612.88	18
5442_41169_000036_000004	There's the peasants, too, I wonder at them sometimes; any good peasant tries to take all the land he can.	There's the peasants, too, I wonder at them sometimes; any good peasant tries to take all the land he can.	false	613.76	620.89	17.791618
5442_41169_000036_000005	However bad the land is, he'll work it.	However bad the land is, he'll work it.	false	621.41	624.01	18.459276
5442_41169_000036_000006	Without a return too.	Without a return too.	true	624.26	625.815	19.155642
5442_41169_000036_000007	At a simple loss."	At a simple loss."	true	625.815	627.19	19.836063
5442_41169_000037_000000	"Just as we do," said Levin.	"Just as we do," said Levin.	true	628.07	630.25	16.716486
5442_41169_000037_000001	"Very, very glad to have met you," he added, seeing Sviazhsky approaching him.	"Very, very glad to have met you," he added, seeing Sviazhsky approaching him.	true	630.41	635.35	17.030025
5442_41169_000038_000000	"And here we've met for the first time since we met at your place," said the landowner to Sviazhsky, "and we've had a good talk too."	"And here we've met for the first time since we met at your place," said the landowner to Sviazhsky, "and we've had a good talk too."	false	636.2	643.81	17.33045
5442_41169_000039_000000	"Well, have you been attacking the new order of things?" said Sviazhsky with a smile.	"Well, have you been attacking the new order of things?" said Sviazhsky with a smile.	false	645.56	659.97	17.9202
