5442_41168_000000_000000	Chapter 28	Chapter twenty eight	false	3.15	28.75	20.05687
5442_41168_000005_000011	He forgot, as Sergey Ivanovitch explained to him afterwards, this syllogism: that it was necessary for the public good to get rid of the marshal of the province; that to get rid of the marshal it was necessary to have a majority of votes; that to get a majority of votes it was necessary to secure Flerov's right to vote; that to secure the recognition of Flerov's right to vote they must decide on the interpretation to be put on the act.	He forgot, as Sergey Ivanovitch explained to him afterwards, this syllogism: that it was necessary for the public good to get rid of the marshal of the province; that to get rid of the marshal it was necessary to have a majority of votes; that to get a majority of votes it was necessary to secure Flerov's right to vote; that to secure the recognition of Flerov's right to vote they must decide on the interpretation to be put on the act.	false	195.02	224.47	19.771067
5442_41168_000006_000000	"And one vote may decide the whole question, and one must be serious and consecutive, if one wants to be of use in public life," concluded Sergey Ivanovitch.	"And one vote may decide the whole question, and one must be serious and consecutive, if one wants to be of use in public life," concluded Sergey Ivanovitch.	true	224.51	235.3	19.153082
5442_41168_000006_000001	But Levin forgot all that, and it was painful to him to see all these excellent persons, for whom he had a respect, in such an unpleasant and vicious state of excitement.	But Levin forgot all that, and it was painful to him to see all these excellent persons, for whom he had a respect, in such an unpleasant and vicious state of excitement.	true	235.67	246.61	19.446478
5442_41168_000006_000002	To escape from this painful feeling he went away into the other room where there was nobody except the waiters at the refreshment bar.	To escape from this painful feeling he went away into the other room where there was nobody except the waiters at the refreshment bar.	true	247.28	255.37	20.432093
5442_41168_000006_000003	Seeing the waiters busy over washing up the crockery and setting in order their plates and wine glasses, seeing their calm and cheerful faces, Levin felt an unexpected sense of relief as though he had come out of a stuffy room into the fresh air.	Seeing the waiters busy over washing up the crockery and setting in order their plates and wine glasses, seeing their calm and cheerful faces, Levin felt an unexpected sense of relief as though he had come out of a stuffy room into the fresh air.	false	255.86	272.31	19.1836
5442_41168_000006_000004	He began walking up and down, looking with pleasure at the waiters.	He began walking up and down, looking with pleasure at the waiters.	false	272.31	276.19	14
5442_41168_000006_000005	He particularly liked the way one gray-whiskered waiter, who showed his scorn for the other younger ones and was jeered at by them, was teaching them how to fold up napkins properly.	He particularly liked the way one gray whiskered waiter, who showed his scorn for the other younger ones and was jeered at by them, was teaching them how to fold up napkins properly.	false	276.59	287.77	19.838675
5442_41168_000006_000006	Levin was just about to enter into conversation with the old waiter, when the secretary of the court of wardship, a little old man whose specialty it was to know all the noblemen of the province by name and patronymic, drew him away.	Levin was just about to enter into conversation with the old waiter, when the secretary of the court of wardship, a little old man whose specialty it was to know all the noblemen of the province by name and patronymic, drew him away.	false	288.53	303.85	20.67598
5442_41168_000007_000000	"Please come, Konstantin Dmitrievitch," he said, "your brother's looking for you.	"Please come, Konstantin d mitrievitch," he said, "your brother's looking for you.	true	304.43	309.31	20.915527
5442_41168_000007_000001	They are voting on the legal point."	They are voting on the legal point."	true	309.38	311.44	21.89749
5442_41168_000008_000000	Levin walked into the room, received a white ball, and followed his brother, Sergey Ivanovitch, to the table where Sviazhsky was standing with a significant and ironical face, holding his beard in his fist and sniffing at it.	Levin walked into the room, received a white ball, and followed his brother, Sergey Ivanovitch, to the table where Sviazhsky was standing with a significant and ironical face, holding his beard in his fist and sniffing at it.	false	312.17	325.81	19.939459
5442_41168_000008_000001	Sergey Ivanovitch put his hand into the box, put the ball somewhere, and making room for Levin, stopped.	Sergey Ivanovitch put his hand into the box, put the ball somewhere, and making room for Levin, stopped.	true	326.57	333.43	21.957697
5442_41168_000008_000002	Levin advanced, but utterly forgetting what he was to do, and much embarrassed, he turned to Sergey Ivanovitch with the question, "Where am I to put it?"	Levin advanced, but utterly forgetting what he was to do, and much embarrassed, he turned to Sergey Ivanovitch with the question, "Where am I to put it?"	false	333.74	344.02	19.687479
5442_41168_000008_000003	He asked this softly, at a moment when there was talking going on near, so that he had hoped his question would not be overheard.	He asked this softly, at a moment when there was talking going on near, so that he had hoped his question would not be overheard.	false	344.42	352.3	18.79381
5442_41168_000008_000004	But the persons speaking paused, and his improper question was overheard.	But the persons speaking paused, and his improper question was overheard.	true	353.12	358.33	20.958206
5442_41168_000008_000005	Sergey Ivanovitch frowned.	Sergey Ivanovitch frowned.	true	358.85	360.58	24.108618
5442_41168_000009_000000	"That is a matter for each man's own decision," he said severely.	"That is a matter for each man's own decision," he said severely.	true	361.19	365.44	20.256353
5442_41168_000010_000000	Several people smiled.	Several people smiled.	false	366.26	368.1	26.390205
5442_41168_000010_000001	Levin crimsoned, hurriedly thrust his hand under the cloth, and put the ball to the right as it was in his right hand. Having put it in, he recollected that he ought to have thrust his left hand too, and so he thrust it in though too late, and, still more overcome with confusion, he beat a hasty retreat into the background.	Levin crimsoned, hurriedly thrust his hand under the cloth, and put the ball to the right as it was in his right hand. Having put it in, he recollected that he ought to have thrust his left hand too, and so he thrust it in though too late, and, still more overcome with confusion, he beat a hasty retreat into the background.	false	368.1	388.48	21.0231
5442_41168_000011_000000	"A hundred and twenty-six for admission!	"A hundred and twenty six for admission!	true	389.42	391.99	22.162056
5442_41168_000011_000001	Ninety-eight against!" sang out the voice of the secretary, who could not pronounce the letter _r_.	Ninety eight against!" sang out the voice of the secretary, who could not pronounce the letter underscore r underscore.	false	392.15	398.79	19.421919
5442_41168_000011_000002	Then there was a laugh; a button and two nuts were found in the box.	Then there was a laugh; a button and two nuts were found in the box.	false	398.79	403.06	19.53233
5442_41168_000011_000003	The nobleman was allowed the right to vote, and the new party had conquered.	The nobleman was allowed the right to vote, and the new party had conquered.	false	403.55	408.22	20.752916
5442_41168_000012_000000	But the old party did not consider themselves conquered.	But the old party did not consider themselves conquered.	true	409.13	412.51	20.985268
5442_41168_000012_000001	Levin heard that they were asking Snetkov to stand, and he saw that a crowd of noblemen was surrounding the marshal, who was saying something.	Levin heard that they were asking Snetkov to stand, and he saw that a crowd of noblemen was surrounding the marshal, who was saying something.	false	412.7	421.87	18.88653
5442_41168_000012_000002	Levin went nearer.	Levin went nearer.	true	422.21	423.73	20.814392
5442_41168_000012_000003	In reply Snetkov spoke of the trust the noblemen of the province had placed in him, the affection they had shown him, which he did not deserve, as his only merit had been his attachment to the nobility, to whom he had devoted twelve years of service.	In reply Snetkov spoke of the trust the noblemen of the province had placed in him, the affection they had shown him, which he did not deserve, as his only merit had been his attachment to the nobility, to whom he had devoted twelve years of service.	true	424.28	440.05	20.109442
5442_41168_000012_000004	Several times he repeated the words: "I have served to the best of my powers with truth and good faith, I value your goodness and thank you," and suddenly he stopped short from the tears that choked him, and went out of the room.	Several times he repeated the words: "I have served to the best of my powers with truth and good faith, I value your goodness and thank you," and suddenly he stopped short from the tears that choked him, and went out of the room.	true	440.78	456.13	20.13993
5442_41168_000012_000005	Whether these tears came from a sense of the injustice being done him, from his love for the nobility, or from the strain of the position he was placed in, feeling himself surrounded by enemies, his emotion infected the assembly, the majority were touched, and Levin felt a tenderness for Snetkov.	Whether these tears came from a sense of the injustice being done him, from his love for the nobility, or from the strain of the position he was placed in, feeling himself surrounded by enemies, his emotion infected the assembly, the majority were touched, and Levin felt a tenderness for Snetkov.	false	456.68	477.135	20.028982
5442_41168_000013_000000	In the doorway the marshal of the province jostled against Levin.	In the doorway the marshal of the province jostled against Levin.	true	477.135	480.82	16
5442_41168_000014_000000	"Beg pardon, excuse me, please," he said as to a stranger, but recognizing Levin, he smiled timidly.	"Beg pardon, excuse me, please," he said as to a stranger, but recognizing Levin, he smiled timidly.	true	481.67	488.92	22.578455
5442_41168_000014_000001	It seemed to Levin that he would have liked to say something, but could not speak for emotion.	It seemed to Levin that he would have liked to say something, but could not speak for emotion.	true	489.26	494.71	21.67022
5442_41168_000014_000002	His face and his whole figure in his uniform with the crosses, and white trousers striped with braid, as he moved hurriedly along, reminded Levin of some hunted beast who sees that he is in evil case.	His face and his whole figure in his uniform with the crosses, and white trousers striped with braid, as he moved hurriedly along, reminded Levin of some hunted beast who sees that he is in evil case.	true	495.26	509.14	20.35427
5442_41168_000014_000003	This expression in the marshal's face was particularly touching to Levin, because, only the day before, he had been at his house about his trustee business and had seen him in all his grandeur, a kind-hearted, fatherly man.	This expression in the marshal's face was particularly touching to Levin, because, only the day before, he had been at his house about his trustee business and had seen him in all his grandeur, a kind hearted, fatherly man.	false	510.11	525.16	20.321423
5442_41168_000014_000004	The big house with the old family furniture; the rather dirty, far from stylish, but respectful footmen, unmistakably old house serfs who had stuck to their master; the stout, good-natured wife in a cap with lace and a Turkish shawl, petting her pretty grandchild, her daughter's daughter; the young son, a sixth form high school boy, coming home from school, and greeting his father, kissing his big hand; the genuine, cordial words and gestures of the old man--all this had the day before roused an instinctive feeling of respect and sympathy in Levin.	The big house with the old family furniture; the rather dirty, far from stylish, but respectful footmen, unmistakably old house serfs who had stuck to their master; the stout, good-natured wife in a cap with lace and a Turkish shawl, petting her pretty grandchild, her daughter's daughter; the young son, a sixth form high school boy, coming home from school, and greeting his father, kissing his big hand; the genuine, cordial words and gestures of the old man-all this had the day before roused an instinctive feeling of respect and sympathy in Levin.	false	525.71	564.01	19.873434
5442_41168_000014_000005	This old man was a touching and pathetic figure to Levin now, and he longed to say something pleasant to him.	This old man was a touching and pathetic figure to Levin now, and he longed to say something pleasant to him.	true	564.86	571.57	18.498304
5442_41168_000015_000000	"So you're sure to be our marshal again," he said.	"So you're sure to be our marshal again," he said.	true	572.48	575.65	20.058258
5442_41168_000016_000000	"It's not likely," said the marshal, looking round with a scared expression.	"It's not likely," said the marshal, looking round with a scared expression.	true	576.17	580.81	21.034515
5442_41168_000016_000001	"I'm worn out, I'm old.	"I'm worn out, I'm old.	true	581.15	583.54	21.895962
5442_41168_000016_000002	If there are men younger and more deserving than I, let them serve."	If there are men younger and more deserving than I, let them serve."	false	583.79	589.14	18.044386
5442_41168_000017_000000	And the marshal disappeared through a side door.	And the marshal disappeared through a side door.	true	589.14	591.49	19.055529
5442_41168_000018_000000	The most solemn moment was at hand.	The most solemn moment was at hand.	true	592.55	594.82	20.968508
5442_41168_000018_000001	They were to proceed immediately to the election.	They were to proceed immediately to the election.	true	595.34	597.97	20.305613
5442_41168_000018_000002	The leaders of both parties were reckoning white and black on their fingers.	The leaders of both parties were reckoning white and black on their fingers.	true	598.55	603.19	19.734577
5442_41168_000019_000000	The discussion upon Flerov had given the new party not only Flerov's vote, but had also gained time for them, so that they could send to fetch three noblemen who had been rendered unable to take part in the elections by the wiles of the other party.	The discussion upon Flerov had given the new party not only Flerov's vote, but had also gained time for them, so that they could send to fetch three noblemen who had been rendered unable to take part in the elections by the wiles of the other party.	true	604.07	620.44	19.64736
5442_41168_000019_000001	Two noble gentlemen, who had a weakness for strong drink, had been made drunk by the partisans of Snetkov, and a third had been robbed of his uniform.	Two noble gentlemen, who had a weakness for strong drink, had been made drunk by the partisans of Snetkov, and a third had been robbed of his uniform.	true	621.23	630.34	20.372158
5442_41168_000020_000000	On learning this, the new party had made haste, during the dispute about Flerov, to send some of their men in a sledge to clothe the stripped gentleman, and to bring along one of the intoxicated to the meeting.	On learning this, the new party had made haste, during the dispute about Flerov, to send some of their men in a sledge to clothe the stripped gentleman, and to bring along one of the intoxicated to the meeting.	true	631.58	645.39	20.044655
5442_41168_000021_000000	"I've brought one, drenched him with water," said the landowner, who had gone on this errand, to Sviazhsky.	"I've brought one, drenched him with water," said the landowner, who had gone on this errand, to Sviazhsky.	false	645.39	652.69	19.750671
5442_41168_000021_000001	"He's all right?	"He's all right?	true	653.27	654.37	21.989773
5442_41168_000021_000002	he'll do."	he'll do."	false	654.71	677.97	19.426085
