5442_41168_000001_000000	Levin was standing rather far off.	Levin was standing rather far off.
5442_41168_000006_000000	"And one vote may decide the whole question, and one must be serious and consecutive, if one wants to be of use in public life," concluded Sergey Ivanovitch.	"And one vote may decide the whole question, and one must be serious and consecutive, if one wants to be of use in public life," concluded Sergey Ivanovitch.
5442_41168_000006_000001	But Levin forgot all that, and it was painful to him to see all these excellent persons, for whom he had a respect, in such an unpleasant and vicious state of excitement.	But Levin forgot all that, and it was painful to him to see all these excellent persons, for whom he had a respect, in such an unpleasant and vicious state of excitement.
5442_41168_000006_000002	To escape from this painful feeling he went away into the other room where there was nobody except the waiters at the refreshment bar.	To escape from this painful feeling he went away into the other room where there was nobody except the waiters at the refreshment bar.
5442_41168_000007_000000	"Please come, Konstantin Dmitrievitch," he said, "your brother's looking for you.	"Please come, Konstantin d mitrievitch," he said, "your brother's looking for you.
5442_41168_000007_000001	They are voting on the legal point."	They are voting on the legal point."
5442_41168_000008_000001	Sergey Ivanovitch put his hand into the box, put the ball somewhere, and making room for Levin, stopped.	Sergey Ivanovitch put his hand into the box, put the ball somewhere, and making room for Levin, stopped.
5442_41168_000008_000004	But the persons speaking paused, and his improper question was overheard.	But the persons speaking paused, and his improper question was overheard.
5442_41168_000008_000005	Sergey Ivanovitch frowned.	Sergey Ivanovitch frowned.
5442_41168_000009_000000	"That is a matter for each man's own decision," he said severely.	"That is a matter for each man's own decision," he said severely.
5442_41168_000011_000000	"A hundred and twenty-six for admission!	"A hundred and twenty six for admission!
5442_41168_000012_000000	But the old party did not consider themselves conquered.	But the old party did not consider themselves conquered.
5442_41168_000012_000002	Levin went nearer.	Levin went nearer.
5442_41168_000012_000003	In reply Snetkov spoke of the trust the noblemen of the province had placed in him, the affection they had shown him, which he did not deserve, as his only merit had been his attachment to the nobility, to whom he had devoted twelve years of service.	In reply Snetkov spoke of the trust the noblemen of the province had placed in him, the affection they had shown him, which he did not deserve, as his only merit had been his attachment to the nobility, to whom he had devoted twelve years of service.
5442_41168_000012_000004	Several times he repeated the words: "I have served to the best of my powers with truth and good faith, I value your goodness and thank you," and suddenly he stopped short from the tears that choked him, and went out of the room.	Several times he repeated the words: "I have served to the best of my powers with truth and good faith, I value your goodness and thank you," and suddenly he stopped short from the tears that choked him, and went out of the room.
5442_41168_000013_000000	In the doorway the marshal of the province jostled against Levin.	In the doorway the marshal of the province jostled against Levin.
5442_41168_000014_000000	"Beg pardon, excuse me, please," he said as to a stranger, but recognizing Levin, he smiled timidly.	"Beg pardon, excuse me, please," he said as to a stranger, but recognizing Levin, he smiled timidly.
5442_41168_000014_000001	It seemed to Levin that he would have liked to say something, but could not speak for emotion.	It seemed to Levin that he would have liked to say something, but could not speak for emotion.
5442_41168_000014_000002	His face and his whole figure in his uniform with the crosses, and white trousers striped with braid, as he moved hurriedly along, reminded Levin of some hunted beast who sees that he is in evil case.	His face and his whole figure in his uniform with the crosses, and white trousers striped with braid, as he moved hurriedly along, reminded Levin of some hunted beast who sees that he is in evil case.
5442_41168_000014_000005	This old man was a touching and pathetic figure to Levin now, and he longed to say something pleasant to him.	This old man was a touching and pathetic figure to Levin now, and he longed to say something pleasant to him.
5442_41168_000015_000000	"So you're sure to be our marshal again," he said.	"So you're sure to be our marshal again," he said.
5442_41168_000016_000000	"It's not likely," said the marshal, looking round with a scared expression.	"It's not likely," said the marshal, looking round with a scared expression.
5442_41168_000016_000001	"I'm worn out, I'm old.	"I'm worn out, I'm old.
5442_41168_000017_000000	And the marshal disappeared through a side door.	And the marshal disappeared through a side door.
5442_41168_000018_000000	The most solemn moment was at hand.	The most solemn moment was at hand.
5442_41168_000018_000001	They were to proceed immediately to the election.	They were to proceed immediately to the election.
5442_41168_000018_000002	The leaders of both parties were reckoning white and black on their fingers.	The leaders of both parties were reckoning white and black on their fingers.
5442_41168_000019_000000	The discussion upon Flerov had given the new party not only Flerov's vote, but had also gained time for them, so that they could send to fetch three noblemen who had been rendered unable to take part in the elections by the wiles of the other party.	The discussion upon Flerov had given the new party not only Flerov's vote, but had also gained time for them, so that they could send to fetch three noblemen who had been rendered unable to take part in the elections by the wiles of the other party.
5442_41168_000019_000001	Two noble gentlemen, who had a weakness for strong drink, had been made drunk by the partisans of Snetkov, and a third had been robbed of his uniform.	Two noble gentlemen, who had a weakness for strong drink, had been made drunk by the partisans of Snetkov, and a third had been robbed of his uniform.
5442_41168_000020_000000	On learning this, the new party had made haste, during the dispute about Flerov, to send some of their men in a sledge to clothe the stripped gentleman, and to bring along one of the intoxicated to the meeting.	On learning this, the new party had made haste, during the dispute about Flerov, to send some of their men in a sledge to clothe the stripped gentleman, and to bring along one of the intoxicated to the meeting.
5442_41168_000021_000001	"He's all right?	"He's all right?
