3997_180294_000000_000000	"Shall I lock the door?"	"Shall I lock the door?"	false	9.15	14.52	24.153116
3997_180294_000011_000000	"Well, keep it; but it only depends on me to make it useless to you, after all."	"Well, keep it; but it only depends on me to make it useless to you, after all."	true	92.48	98.02	25.107786
3997_180294_000012_000000	"How?"	"How?"	true	98.18	99.04	26.38973
3997_180294_000013_000000	"There are bolts on the door."	"There are bolts on the door."	true	99.14	100.93	26.251865
3997_180294_000014_000000	"Wretch!"	"Wretch!"	true	101.15	102.13	34.86857
3997_180294_000015_000000	"I will have them taken off."	"I will have them taken off."	true	102.5	104.26	26.13044
3997_180294_000016_000000	"You love, then, a little?"	"You love, then, a little?"	true	104.78	106.72	29.286026
3997_180294_000017_000000	"I don't know how it is, but it seems to me as if I do!	"I don't know how it is, but it seems to me as if I do!	false	107.21	111.25	22.114988
3997_180294_000017_000001	Now, go; I can't keep my eyes open."	Now, go; I can't keep my eyes open."	true	111.32	114.16	24.278183
3997_180294_000018_000000	I held her in my arms for a few seconds and then went.	I held her in my arms for a few seconds and then went.	false	115.07	120.3	22.069113
3997_180294_000019_000000	The streets were empty, the great city was still asleep, a sweet freshness circulated in the streets that a few hours later would be filled with the noise of men.	The streets were empty, the great city was still asleep, a sweet freshness circulated in the streets that a few hours later would be filled with the noise of men.	false	120.3	131.19	24.030643
3997_180294_000019_000001	It seemed to me as if this sleeping city belonged to me; I searched my memory for the names of those whose happiness I had once envied; and I could not recall one without finding myself the happier.	It seemed to me as if this sleeping city belonged to me; I searched my memory for the names of those whose happiness I had once envied; and I could not recall one without finding myself the happier.	false	131.19	144.97	23.098059
3997_180294_000020_000000	To be loved by a pure young girl, to be the first to reveal to her the strange mystery of love, is indeed a great happiness, but it is the simplest thing in the world.	To be loved by a pure young girl, to be the first to reveal to her the strange mystery of love, is indeed a great happiness, but it is the simplest thing in the world.	true	146.72	158.835	24.478716
3997_180294_000020_000001	To take captive a heart which has had no experience of attack, is to enter an unfortified and ungarrisoned city. Education, family feeling, the sense of duty, the family, are strong sentinels, but there are no sentinels so vigilant as not to be deceived by a girl of sixteen to whom nature, by the voice of the man she loves, gives the first counsels of love, all the more ardent because they seem so pure.	To take captive a heart which has had no experience of attack, is to enter an unfortified and ungarrisoned city. Education, family feeling, the sense of duty, the family, are strong sentinels, but there are no sentinels so vigilant as not to be deceived by a girl of sixteen to whom nature, by the voice of the man she loves, gives the first counsels of love, all the more ardent because they seem so pure.	true	158.835	189.34	23.489576
3997_180294_000021_000000	The more a girl believes in goodness, the more easily will she give way, if not to her lover, at least to love, for being without mistrust she is without force, and to win her love is a triumph that can be gained by any young man of five-and-twenty.	The more a girl believes in goodness, the more easily will she give way, if not to her lover, at least to love, for being without mistrust she is without force, and to win her love is a triumph that can be gained by any young man of five and twenty.	false	191.18	207.85	24.741762
3997_180294_000021_000001	See how young girls are watched and guarded!	See how young girls are watched and guarded!	true	208.49	211.39	22.82368
3997_180294_000021_000002	The walls of convents are not high enough, mothers have no locks strong enough, religion has no duties constant enough, to shut these charming birds in their cages, cages not even strewn with flowers. Then how surely must they desire the world which is hidden from them, how surely must they find it tempting, how surely must they listen to the first voice which comes to tell its secrets through their bars, and bless the hand which is the first to raise a corner of the mysterious veil!	The walls of convents are not high enough, mothers have no locks strong enough, religion has no duties constant enough, to shut these charming birds in their cages, cages not even strewn with flowers. Then how surely must they desire the world which is hidden from them, how surely must they find it tempting, how surely must they listen to the first voice which comes to tell its secrets through their bars, and bless the hand which is the first to raise a corner of the mysterious veil!	false	211.61	245.17	22.196697
3997_180294_000022_000000	But to be really loved by a courtesan: that is a victory of infinitely greater difficulty.	But to be really loved by a courtesan: that is a victory of infinitely greater difficulty.	true	246.62	253.24	27.271738
3997_180294_000022_000001	With them the body has worn out the soul, the senses have burned up the heart, dissipation has blunted the feelings.	With them the body has worn out the soul, the senses have burned up the heart, dissipation has blunted the feelings.	true	253.52	261.97	21.765188
3997_180294_000022_000002	They have long known the words that we say to them, the means we use; they have sold the love that they inspire.	They have long known the words that we say to them, the means we use; they have sold the love that they inspire.	false	262.28	270.15	21.951914
3997_180294_000022_000003	They love by profession, and not by instinct.	They love by profession, and not by instinct.	true	270.15	273.22	22.864326
3997_180294_000022_000004	They are guarded better by their calculations than a virgin by her mother and her convent; and they have invented the word caprice for that unbartered love which they allow themselves from time to time, for a rest, for an excuse, for a consolation, like usurers, who cheat a thousand, and think they have bought their own redemption by once lending a sovereign to a poor devil who is dying of hunger without asking for interest or a receipt.	They are guarded better by their calculations than a virgin by her mother and her convent; and they have invented the word caprice for that unbartered love which they allow themselves from time to time, for a rest, for an excuse, for a consolation, like usurers, who cheat a thousand, and think they have bought their own redemption by once lending a sovereign to a poor devil who is dying of hunger without asking for interest or a receipt.	false	273.68	305.53	23.446781
3997_180294_000023_000000	Then, when God allows love to a courtesan, that love, which at first seems like a pardon, becomes for her almost without penitence.	Then, when God allows love to a courtesan, that love, which at first seems like a pardon, becomes for her almost without penitence.	true	308.96	318.85	25.679096
3997_180294_000023_000001	When a creature who has all her past to reproach herself with is taken all at once by a profound, sincere, irresistible love, of which she had never felt herself capable; when she has confessed her love, how absolutely the man whom she loves dominates her!	When a creature who has all her past to reproach herself with is taken all at once by a profound, sincere, irresistible love, of which she had never felt herself capable; when she has confessed her love, how absolutely the man whom she loves dominates her!	false	319.34	338.05	24.395414
3997_180294_000023_000002	How strong he feels with his cruel right to say: You do no more for love than you have done for money. They know not what proof to give.	How strong he feels with his cruel right to say: You do no more for love than you have done for money. They know not what proof to give.	true	338.51	348.975	22.964605
3997_180294_000023_000003	A child, says the fable, having often amused himself by crying "Help! a wolf!" in order to disturb the labourers in the field, was one day devoured by a Wolf, because those whom he had so often deceived no longer believed in his cries for help. It is the same with these unhappy women when they love seriously.	A child, says the fable, having often amused himself by crying "Help! a wolf!" in order to disturb the labourers in the field, was one day devoured by a Wolf, because those whom he had so often deceived no longer believed in his cries for help. It is the same with these unhappy women when they love seriously.	false	348.975	371.56	23.958477
3997_180294_000023_000004	They have lied so often that no one will believe them, and in the midst of their remorse they are devoured by their love.	They have lied so often that no one will believe them, and in the midst of their remorse they are devoured by their love.	false	372.02	379.87	22.64655
3997_180294_000024_000000	Hence those great devotions, those austere retreats from the world, of which some of them have given an example.	Hence those great devotions, those austere retreats from the world, of which some of them have given an example.	true	381.86	391.08	23.784376
3997_180294_000025_000000	But when the man who inspires this redeeming love is great enough in soul to receive it without remembering the past, when he gives himself up to it, when, in short, he loves as he is loved, this man drains at one draught all earthly emotions, and after such a love his heart will be closed to every other.	But when the man who inspires this redeeming love is great enough in soul to receive it without remembering the past, when he gives himself up to it, when, in short, he loves as he is loved, this man drains at one draught all earthly emotions, and after such a love his heart will be closed to every other.	true	391.08	413.38	23.484205
3997_180294_000026_000000	I did not make these reflections on the morning when I returned home. They could but have been the presentiment of what was to happen to me, and, despite my love for Marguerite, I did not foresee such consequences.	I did not make these reflections on the morning when I returned home. They could but have been the presentiment of what was to happen to me, and, despite my love for Marguerite, I did not foresee such consequences.	true	414.89	430.03	24.85099
3997_180294_000026_000001	I make these reflections to-day.	I make these reflections to day.	true	430.31	432.55	22.39783
3997_180294_000026_000002	Now that all is irrevocably ended, they a rise naturally out of what has taken place.	Now that all is irrevocably ended, they a rise naturally out of what has taken place.	true	432.56	440.17	23.183945
3997_180294_000027_000000	But to return to the first day of my liaison.	But to return to the first day of my liaison.	true	442.82	446.14	23.922575
3997_180294_000027_000001	When I reached home I was in a state of mad gaiety.	When I reached home I was in a state of mad gaiety.	true	447.11	450.82	23.67602
3997_180294_000027_000002	As I thought of how the barriers which my imagination had placed between Marguerite and myself had disappeared, of how she was now mine; of the place I now had in her thoughts, of the key to her room which I had in my pocket, and of my right to use this key, I was satisfied with life, proud of myself, and I loved God because he had let such things be.	As I thought of how the barriers which my imagination had placed between Marguerite and myself had disappeared, of how she was now mine; of the place I now had in her thoughts, of the key to her room which I had in my pocket, and of my right to use this key, I was satisfied with life, proud of myself, and I loved God because he had let such things be.	true	451.13	476.08	23.444689
3997_180294_000028_000000	One day a young man is passing in the street, he brushes against a woman, looks at her, turns, goes on his way.	One day a young man is passing in the street, he brushes against a woman, looks at her, turns, goes on his way.	true	478.01	486.25	22.119312
3997_180294_000028_000001	He does not know the woman, and she has pleasures, griefs, loves, in which he has no part.	He does not know the woman, and she has pleasures, griefs, loves, in which he has no part.	true	486.41	492.67	25.00657
3997_180294_000028_000002	He does not exist for her, and perhaps, if he spoke to her, she would only laugh at him, as Marguerite had laughed at me.	He does not exist for her, and perhaps, if he spoke to her, she would only laugh at him, as Marguerite had laughed at me.	false	492.83	501.64	24.572397
3997_180294_000028_000003	Weeks, months, years pass, and all at once, when they have each followed their fate along a different path, the logic of chance brings them face to face.	Weeks, months, years pass, and all at once, when they have each followed their fate along a different path, the logic of chance brings them face to face.	true	502.13	512.65	24.15361
3997_180294_000028_000004	The woman becomes the man's mistress and loves him.	The woman becomes the man's mistress and loves him.	true	513.02	516.28	20.674442
3997_180294_000028_000005	How? why?	How? why?	true	516.44	518.44	24.757452
3997_180294_000028_000006	Their two existences are henceforth one; they have scarcely begun to know one another when it seems as if they had known one another always, and all that had gone before is wiped out from the memory of the two lovers.	Their two existences are henceforth one; they have scarcely begun to know one another when it seems as if they had known one another always, and all that had gone before is wiped out from the memory of the two lovers.	true	518.9	534.4	23.93587
3997_180294_000028_000007	It is curious, one must admit.	It is curious, one must admit.	true	534.77	537.43	24.059292
3997_180294_000029_000000	As for me, I no longer remembered how I had lived before that night. My whole being was exalted into joy at the memory of the words we had exchanged during that first night.	As for me, I no longer remembered how I had lived before that night. My whole being was exalted into joy at the memory of the words we had exchanged during that first night.	true	539.6	552.1	23.91452
3997_180294_000029_000001	Either Marguerite was very clever in deception, or she had conceived for me one of those sudden passions which are revealed in the first kiss, and which die, often enough, as suddenly as they were born.	Either Marguerite was very clever in deception, or she had conceived for me one of those sudden passions which are revealed in the first kiss, and which die, often enough, as suddenly as they were born.	true	552.53	567.34	22.365093
3997_180294_000030_000000	The more I reflected the more I said to myself that Marguerite had no reason for feigning a love which she did not feel, and I said to myself also that women have two ways of loving, one of which may arise from the other: they love with the heart or with the senses.	The more I reflected the more I said to myself that Marguerite had no reason for feigning a love which she did not feel, and I said to myself also that women have two ways of loving, one of which may arise from the other: they love with the heart or with the senses.	false	567.71	587.41	24.740469
3997_180294_000030_000001	Often a woman takes a lover in obedience to the mere will of the senses, and learns without expecting it the mystery of immaterial love, and lives henceforth only through her heart; often a girl who has sought in marriage only the union of two pure affections receives the sudden revelation of physical love, that energetic conclusion of the purest impressions of the soul.	Often a woman takes a lover in obedience to the mere will of the senses, and learns without expecting it the mystery of immaterial love, and lives henceforth only through her heart; often a girl who has sought in marriage only the union of two pure affections receives the sudden revelation of physical love, that energetic conclusion of the purest impressions of the soul.	false	587.69	615.09	22.961994
3997_180294_000031_000000	In the midst of these thoughts I fell asleep; I was awakened by a letter from Marguerite containing these words:	In the midst of these thoughts I fell asleep; I was awakened by a letter from Marguerite containing these words:	false	615.09	623.98	21.861956
3997_180294_000032_000000	"Here are my orders: To-night at the Vaudeville.	"Here are my orders: To night at the Vaudeville.	true	624.98	628.33	24.549696
3997_180294_000033_000000	"Come during the third entr'acte."	"Come during the third entr'acte."	false	628.88	632.58	20.952793
3997_180294_000034_000000	I put the letter into a drawer, so that I might always have it at band in case I doubted its reality, as I did from time to time.	I put the letter into a drawer, so that I might always have it at band in case I doubted its reality, as I did from time to time.	false	632.58	642.46	24.005877
3997_180294_000035_000000	She did not tell me to come to see her during the day, and I dared not go; but I had so great a desire to see her before the evening that I went to the Champs-Elysees, where I again saw her pass and repass, as I had on the previous day.	She did not tell me to come to see her during the day, and I dared not go; but I had so great a desire to see her before the evening that I went to the Champs Elysees, where I again saw her pass and repass, as I had on the previous day.	false	643.25	659.2	24.794008
3997_180294_000036_000000	At seven o'clock I was at the Vaudeville.	At seven o'clock I was at the Vaudeville.	true	660.23	663.25	25.66272
3997_180294_000036_000001	Never had I gone to a theatre so early.	Never had I gone to a theatre so early.	true	663.5	666.49	24.27807
3997_180294_000036_000002	The boxes filled one after another.	The boxes filled one after another.	true	666.77	669.37	24.262491
3997_180294_000036_000003	Only one remained empty, the stage box.	Only one remained empty, the stage box.	true	669.38	672.58	21.73324
3997_180294_000036_000004	At the beginning of the third act I heard the door of the box, on which my eyes had been almost constantly fixed, open, and Marguerite appeared.	At the beginning of the third act one heard the door of the box, on which my eyes had been almost constantly fixed, open, and Marguerite appeared.	false	672.98	682.36	25.468454
3997_180294_000036_000005	She came to the front at once, looked around the stalls, saw me, and thanked me with a look.	She came to the front at once, looked around the stalls, saw me, and thanked me with a look.	true	682.82	689.08	23.323391
3997_180294_000037_000000	That night she was marvellously beautiful.	That night she was marvellously beautiful.	true	689.99	692.89	23.07109
3997_180294_000037_000001	Was I the cause of this coquetry?	Was I the cause of this coquetry?	true	693.29	695.64	26.10797
3997_180294_000037_000002	Did she love me enough to believe that the more beautiful she looked the happier I should be?	Did she love me enough to believe that the more beautiful she looked the happier I should be?	false	695.64	701.05	24.595625
3997_180294_000037_000003	I did not know, but if that had been her intention she certainly succeeded, for when she appeared all heads turned, and the actor who was then on the stage looked to see who had produced such an effect on the audience by her mere presence there.	I did not know, but if that had been her intention she certainly succeeded, for when she appeared all heads turned, and the actor who was then on the stage looked to see who had produced such an effect on the audience by her mere presence there.	false	701.3	716.41	23.175198
3997_180294_000038_000000	And I had the key of this woman's room, and in three or four hours she would again be mine!	And I had the key of this woman's room, and in three or four hours she would again be mine!	false	717.86	724.12	24.0955
3997_180294_000039_000000	People blame those who let themselves be ruined by actresses and kept women; what astonishes me is that twenty times greater follies are not committed for them.	People blame those who let themselves be ruined by actresses and kept women; what astonishes me is that twenty times greater follies are not committed for them.	true	725.3	736.42	24.501333
3997_180294_000039_000001	One must have lived that life, as I have, to know how much the little vanities which they afford their lovers every day help to fasten deeper into the heart, since we have no other word for it, the love which he has for them.	One must have lived that life, as I have, to know how much the little vanities which they afford their lovers every day help to fasten deeper into the heart, since we have no other word for it, the love which he has for them.	false	736.88	752.41	23.675898
3997_180294_000040_000000	Prudence next took her place in the box, and a man, whom I recognised as the Comte de G., seated himself at the back.	Prudence next took her place in the box, and a man, whom I recognised as the Comte de g, seated himself at the back.	false	753.5	762.22	23.664637
3997_180294_000040_000001	As I saw him, a cold shiver went through my heart.	As I saw him, a cold shiver went through my heart.	true	762.47	765.91	23.502853
3997_180294_000041_000000	Doubtless Marguerite perceived the impression made on me by the presence of this man, for she smiled to me again, and, turning her back to the count, appeared to be very attentive to the play.	Doubtless Marguerite perceived the impression made on me by the presence of this man, for she smiled to me again, and, turning her back to the count, appeared to be very attentive to the play.	true	767.57	779.83	24.509562
3997_180294_000041_000001	At the third entr'acte she turned and said two words: the count left the box, and Marguerite beckoned to me to come to her.	At the third entr'acte she turned and said two words: the count left the box, and Marguerite beckoned to me to come to her.	false	780.17	788.41	26.109829
3997_180294_000042_000000	"Good-evening," she said as I entered, holding out her hand.	"Good evening," she said as I entered, holding out her hand.	true	789.44	793.27	23.230028
3997_180294_000043_000000	"Good-evening," I replied to both Marguerite and Prudence.	"Good evening," I replied to both Marguerite and Prudence.	true	793.82	797.17	25.128256
3997_180294_000044_000000	"Sit down."	"Sit down."	true	797.75	799	22.595037
3997_180294_000045_000000	"But I am taking some one's place.	"But I am taking some one's place.	false	799.76	802.56	20.816542
3997_180294_000045_000001	Isn't the Comte de G. coming back?"	Isn't the Comte de g coming back?"	false	802.56	805.21	25.13124
3997_180294_000046_000000	"Yes; I sent him to fetch some sweets, so that we could talk by ourselves for a moment.	"Yes; I sent him to fetch some sweets, so that we could talk by ourselves for a moment.	true	805.55	811.11	22.55032
3997_180294_000046_000001	Mme. Duvernoy is in the secret."	Mme. Duvernoy is in the secret."	false	811.11	814.66	19.331013
3997_180294_000047_000000	"Yes, my children," said she; "have no fear.	"Yes, my children," said she; "have no fear.	true	815.6	818.505	22.375135
3997_180294_000047_000001	I shall say nothing."	I shall say nothing."	true	818.505	820	23.441715
3997_180294_000048_000000	"What is the matter with you to-night?" said Marguerite, rising and coming to the back of the box and kissing me on the forehead.	"What is the matter with you to night?" said Marguerite, rising and coming to the back of the box and kissing me on the forehead.	true	820.97	827.95	24.09278
3997_180294_000049_000000	"I am not very well."	"I am not very well."	false	828.53	829.99	29.084726
3997_180294_000050_000000	"You should go to bed," she replied, with that ironical air which went so well with her delicate and witty face.	"You should go to bed," she replied, with that ironical air which went so well with her delicate and witty face.	true	830.63	837.79	24.259434
3997_180294_000051_000000	"Where?"	"Where?"	true	838.19	838.96	27.355505
3997_180294_000052_000000	"At home."	"At home."	true	839.36	840.58	20.939789
3997_180294_000053_000000	"You know that I shouldn't be able to sleep there."	"You know that I shouldn't be able to sleep there."	true	840.98	843.64	22.236294
3997_180294_000054_000000	"Well, then, it won't do for you to come and be pettish here because you have seen a man in my box."	"Well, then, it won't do for you to come and be pettish here because you have seen a man in my box."	false	844.58	852.49	23.630678
3997_180294_000055_000000	"It is not for that reason."	"It is not for that reason."	true	853.22	854.98	23.290773
3997_180294_000056_000000	"Yes, it is.	"Yes, it is.	true	855.14	856.75	24.353153
3997_180294_000056_000001	I know; and you are wrong, so let us say no more about it.	I know; and you are wrong, so let us say no more about it.	true	857	861.34	23.17347
3997_180294_000056_000002	You will go back with Prudence after the theatre, and you will stay there till I call.	You will go back with Prudence after the theatre, and you will stay there till I call.	false	861.47	866.325	26.900705
3997_180294_000056_000003	Do you understand?"	Do you understand?"	true	866.325	867.64	22.70632
3997_180294_000057_000000	"Yes."	"Yes."	true	868.19	869.05	23.63853
3997_180294_000058_000000	How could I disobey?	How could I disobey?	true	869.63	871.14	26.05123
3997_180294_000059_000000	"You still love me?"	"You still love me?"	false	871.14	873.22	28.117048
3997_180294_000060_000000	"Can you ask?"	"Can you ask?"	true	873.53	874.92	18.802694
3997_180294_000061_000000	"You have thought of me?"	"You have thought of me?"	false	874.92	876.19	24.899532
3997_180294_000062_000000	"All day long."	"All day long."	true	876.26	877.72	25.75784
3997_180294_000063_000000	"Do you know that I am really afraid that I shall get very fond of you? Ask Prudence."	"Do you know that I am really afraid that I shall get very fond of you? Ask Prudence."	true	878.09	883.06	22.608387
3997_180294_000064_000000	"Ah," said she, "it is amazing!"	"Ah," said she, "it is amazing!"	false	883.43	886.72	20.238945
3997_180294_000065_000000	"Now, you must go back to your seat.	"Now, you must go back to your seat.	true	887.42	889.8	23.798527
3997_180294_000065_000001	The count will be coming back, and there is nothing to be gained by his finding you here."	The count will be coming back, and there is nothing to be gained by his finding you here."	true	889.8	895.06	22.310677
3997_180294_000066_000000	"Because you don't like seeing him."	"Because you don't like seeing him."	true	895.46	897.43	24.087395
3997_180294_000067_000000	"No; only if you had told me that you wanted to come to the Vaudeville to-night I could have got this box for you as well as he."	"No; only if you had told me that you wanted to come to the Vaudeville to night I could have got this box for you as well as he."	false	897.71	906.37	24.163078
3997_180294_000068_000000	"Unfortunately, he got it for me without my asking him, and he asked me to go with him; you know well enough that I couldn't refuse.	"Unfortunately, he got it for me without my asking him, and he asked me to go with him; you know well enough that I couldn't refuse.	true	907.55	915.97	23.096813
3997_180294_000068_000001	All I could do was to write and tell you where I was going, so that you could see me, and because I wanted to see you myself; but since this is the way you thank me, I shall profit by the lesson."	All I could do was to write and tell you where I was going, so that you could see me, and because I wanted to see you myself; but since this is the way you thank me, I shall profit by the lesson."	false	916.16	928.66	24.114805
3997_180294_000069_000000	"I was wrong; forgive me."	"I was wrong; forgive me."	true	929.39	931.24	24.100803
3997_180294_000070_000000	"Well and good; and now go back nicely to your place, and, above all, no more jealousy."	"Well and good; and now go back nicely to your place, and, above all, no more jealousy."	true	931.94	938.11	25.78253
3997_180294_000071_000000	She kissed me again, and I left the box.	She kissed me again, and I left the box.	true	938.96	941.64	25.648819
3997_180294_000071_000001	In the passage I met the count coming back.	In the passage I met the count coming back.	false	941.64	944.925	23.162863
3997_180294_000071_000002	I returned to my seat.	I returned to my seat.	true	944.925	946.6	23.734613
3997_180294_000072_000000	After all, the presence of M. de G. in Marguerite's box was the most natural thing in the world.	After all, the presence of m de g in Marguerite's box was the most natural thing in the world.	true	947.51	953.8	24.974932
3997_180294_000072_000001	He had been her lover, he sent her a box, he accompanied her to the theatre; it was all quite natural, and if I was to have a mistress like Marguerite I should have to get used to her ways.	He had been her lover, he sent her a box, he accompanied her to the theatre; it was all quite natural, and if I was to have a mistress like Marguerite I should have to get used to her ways.	false	953.99	966.82	25.502398
3997_180294_000073_000000	Nonetheless, I was very unhappy all the rest of the evening, and went away very sadly after having seen Prudence, the count, and Marguerite get into the carriage, which was waiting for them at the door.	Nonetheless, I was very unhappy all the rest of the evening, and went away very sadly after having seen Prudence, the count, and Marguerite get into the carriage, which was waiting for them at the door.	false	967.58	979.87	22.714888
3997_180294_000074_000000	However, a quarter of an hour later I was at Prudence's.	However, a quarter of an hour later I was at Prudence's.	false	980.66	984.34	23.866987
3997_180294_000074_000001	She had only just got in.	She had only just got in.	false	984.5	999.9	19.149065
