6070_86745_000000_000001	The Guests.	The Guests.
6070_86745_000003_000005	"How did these letters come?" said he.	"How did these letters come?" said he.
6070_86745_000004_000000	"One by the post, Madame Danglars' footman left the other."	"One by the post, Madame Danglars' footman left the other."
6070_86745_000005_000000	"Let Madame Danglars know that I accept the place she offers me in her box.	"Let Madame Danglars know that I accept the place she offers me in her box.
6070_86745_000005_000001	Wait; then, during the day, tell Rosa that when I leave the Opera I will sup with her as she wishes.	Wait; then, during the day, tell Rosa that when I leave the Opera I will sup with her as she wishes.
6070_86745_000005_000002	Take her six bottles of different wine--Cyprus, sherry, and Malaga, and a barrel of Ostend oysters; get them at Borel's, and be sure you say they are for me."	Take her six bottles of different wine-Cyprus, sherry, and Malaga, and a barrel of Ostend oysters; get them at Borel's, and be sure you say they are for me."
6070_86745_000007_000000	"What time is it now?"	"What time is it now?"
6070_86745_000008_000000	"A quarter to ten."	"A quarter to ten."
6070_86745_000009_000000	"Very well, at half past ten.	"Very well, at half past ten.
6070_86745_000009_000002	Is the countess up yet?"	Is the countess up yet?"
6070_86745_000010_000000	"If you wish, I will inquire."	"If you wish, I will inquire."
6070_86745_000011_000000	"Yes, ask her for one of her liqueur cellarets, mine is incomplete; and tell her I shall have the honor of seeing her about three o'clock, and that I request permission to introduce some one to her." The valet left the room.	"Yes, ask her for one of her liqueur cellarets, mine is incomplete; and tell her I shall have the honor of seeing her about three o'clock, and that I request permission to introduce some one to her." The valet left the room.
6070_86745_000011_000004	What do I say?	What do I say?
6070_86745_000011_000005	punctuality!	punctuality!
6070_86745_000011_000006	You, whom I expected last, you arrive at five minutes to ten, when the time fixed was half-past!	You, whom I expected last, you arrive at five minutes to ten, when the time fixed was half past!
6070_86745_000011_000007	Has the ministry resigned?"	Has the ministry resigned?"
6070_86745_000012_000000	"No, my dear fellow," returned the young man, seating himself on the divan; "reassure yourself; we are tottering always, but we never fall, and I begin to believe that we shall pass into a state of immobility, and then the affairs of the Peninsula will completely consolidate us."	"No, my dear fellow," returned the young man, seating himself on the divan; "reassure yourself; we are tottering always, but we never fall, and I begin to believe that we shall pass into a state of immobility, and then the affairs of the Peninsula will completely consolidate us."
6070_86745_000013_000000	"Ah, true; you drive Don Carlos out of Spain."	"Ah, true; you drive Don Carlos out of Spain."
6070_86745_000014_000000	"No, no, my dear fellow, do not confound our plans.	"No, no, my dear fellow, do not confound our plans.
6070_86745_000017_000000	"And you another order, for I see you have a blue ribbon at your button-hole."	"And you another order, for I see you have a blue ribbon at your button hole."
6070_86745_000018_000000	"Yes; they sent me the order of Charles III.," returned Debray, carelessly.	"Yes; they sent me the order of Charles the third.," returned Debray, carelessly.
6070_86745_000019_000000	"Come, do not affect indifference, but confess you were pleased to have it."	"Come, do not affect indifference, but confess you were pleased to have it."
6070_86745_000020_000000	"Oh, it is very well as a finish to the toilet.	"Oh, it is very well as a finish to the toilet.
6070_86745_000020_000001	It looks very neat on a black coat buttoned up."	It looks very neat on a black coat buttoned up."
6070_86745_000021_000000	"And makes you resemble the Prince of Wales or the Duke of Reichstadt."	"And makes you resemble the Prince of Wales or the Duke of Reichstadt."
6070_86745_000022_000000	"It is for that reason you see me so early."	"It is for that reason you see me so early."
6070_86745_000023_000000	"Because you have the order of Charles III., and you wish to announce the good news to me?"	"Because you have the order of Charles the third., and you wish to announce the good news to me?"
6070_86745_000024_000000	"No, because I passed the night writing letters,--five and twenty despatches.	"No, because I passed the night writing letters,--five and twenty despatches.
6070_86745_000024_000001	I returned home at daybreak, and strove to sleep; but my head ached and I got up to have a ride for an hour.	I returned home at daybreak, and strove to sleep; but my head ached and I got up to have a ride for an hour.
6070_86745_000024_000002	At the Bois de Boulogne, ennui and hunger attacked me at once,--two enemies who rarely accompany each other, and who are yet leagued against me, a sort of Carlo-republican alliance.	At the Bois de Boulogne, ennui and hunger attacked me at once,--two enemies who rarely accompany each other, and who are yet leagued against me, a sort of Carlo republican alliance.
6070_86745_000024_000003	I then recollected you gave a breakfast this morning, and here I am.	I then recollected you gave a breakfast this morning, and here I am.
6070_86745_000024_000004	I am hungry, feed me; I am bored, amuse me."	I am hungry, feed me; I am bored, amuse me."
6070_86745_000025_000002	In the meantime, my dear Lucien, here are cigars--contraband, of course--try them, and persuade the minister to sell us such instead of poisoning us with cabbage leaves."	In the meantime, my dear Lucien, here are cigars-contraband, of course-try them, and persuade the minister to sell us such instead of poisoning us with cabbage leaves."
6070_86745_000026_000000	"Peste, I will do nothing of the kind; the moment they come from government you would find them execrable.	"Peste, I will do nothing of the kind; the moment they come from government you would find them execrable.
6070_86745_000026_000001	Besides, that does not concern the home but the financial department.	Besides, that does not concern the home but the financial department.
6070_86745_000027_000001	Take a cigar."	Take a cigar."
6070_86745_000029_000000	"And what would you do, my dear diplomatist," replied Morcerf, with a slight degree of irony in his voice, "if you did nothing?	"And what would you do, my dear diplomatist," replied Morcerf, with a slight degree of irony in his voice, "if you did nothing?
